student_id,teaching_method,gender,school_type,study_hours,pre_score,post_score,attendance_pct,result
S083,Flipped,Male,Public,4.1,47.0,66.8,80.0,Pass
S084,Flipped,Male,Public,8.8,65.2,80.8,70.0,Pass
S085,Flipped,Female,Public,7.2,56.2,66.8,95.0,Pass
S086,Flipped,Female,Public,3.0,64.8,74.3,92.0,Pass
S087,Flipped,Female,Public,6.5,69.1,81.9,68.0,Pass
S088,Flipped,Male,Private,2.6,39.0,46.0,51.0,Fail
S089,Flipped,Male,Private,5.5,61.6,68.4,91.0,Pass
S090,Flipped,Female,Public,4.9,68.4,65.1,84.0,Pass
S091,Flipped,Male,Private,6.8,64.7,78.4,75.0,Pass
S092,Flipped,Female,Public,6.3,39.8,60.9,89.0,Pass
S093,Flipped,Female,Private,2.8,56.2,59.7,79.0,Fail
S094,Flipped,Female,Public,10.0,79.3,96.7,97.0,Pass
S095,Flipped,Male,Public,11.4,75.8,98.9,65.0,Pass
S096,Flipped,Female,Public,9.4,64.3,80.4,89.0,Pass
S097,Flipped,Female,Private,2.5,67.8,63.9,80.0,Pass
S098,Flipped,Female,Public,2.7,50.7,65.8,95.0,Pass
S099,Flipped,Female,Private,3.4,64.4,78.1,85.0,Pass
S100,Flipped,Male,Private,3.7,60.4,70.5,60.0,Pass
S101,Flipped,Male,Private,8.2,69.2,82.6,91.0,Pass
S102,Flipped,Male,Private,8.9,36.2,60.0,78.0,Pass
S103,Flipped,Female,Private,4.7,60.0,65.7,72.0,Pass
S104,Flipped,Male,Public,7.3,63.4,75.6,85.0,Pass
S105,Flipped,Male,Private,5.0,55.7,76.2,91.0,Pass
S106,Flipped,Male,Private,9.4,58.1,82.8,88.0,Pass
S107,Flipped,Female,Private,11.4,59.0,71.5,95.0,Pass
S108,Flipped,Male,Public,6.7,55.8,62.8,57.0,Pass
S109,Flipped,Male,Public,7.5,48.2,56.1,89.0,Fail
S110,Flipped,Male,Public,11.8,62.0,83.7,99.0,Pass
S111,Flipped,Female,Public,6.5,64.0,66.5,97.0,Pass
S112,Flipped,Male,Public,6.5,72.3,81.6,72.0,Pass
S113,Flipped,Female,Public,12.7,65.7,75.5,90.0,Pass
S114,Flipped,Female,Public,10.0,80.6,88.7,87.0,Pass
S115,Flipped,Female,Private,18.1,62.8,91.0,82.0,Pass
S116,Flipped,Female,Public,8.6,61.7,75.5,89.0,Pass
S117,Flipped,Female,Public,8.0,60.7,77.6,76.0,Pass
S118,Flipped,Female,Public,6.4,74.0,73.9,61.0,Pass
S119,Flipped,Male,Public,8.7,51.7,59.0,78.0,Fail
S120,Flipped,Male,Public,3.1,43.7,45.2,97.0,Fail
S121,Flipped,Male,Public,14.8,43.9,60.3,64.0,Pass
S122,Flipped,Male,Public,5.3,65.5,78.2,88.0,Pass
S123,Flipped,Female,Private,8.2,54.7,68.1,58.0,Pass
S124,Flipped,Female,Private,7.4,44.7,39.8,80.0,Fail
S125,Flipped,Female,Private,8.1,51.0,70.2,77.0,Pass
S126,Flipped,Male,Public,6.0,74.2,96.1,85.0,Pass
S127,Flipped,Male,Public,10.7,48.2,56.6,68.0,Fail
S128,Flipped,Female,Public,4.4,59.1,74.2,88.0,Pass
S129,Flipped,Female,Private,5.2,67.4,97.1,94.0,Pass
S130,Flipped,Male,Public,7.1,51.0,60.6,70.0,Pass
S131,Flipped,Female,Public,7.1,62.2,70.4,83.0,Pass
S132,Flipped,Female,Public,7.2,60.5,69.9,63.0,Pass
S133,Flipped,Male,Public,3.1,65.2,76.3,87.0,Pass
S134,Flipped,Male,Public,5.9,58.4,75.0,83.0,Pass
S135,Flipped,Male,Public,4.6,61.7,82.7,91.0,Pass
S136,Flipped,Female,Public,10.3,53.5,57.3,83.0,Fail
S137,Flipped,Male,Public,14.6,50.5,69.7,83.0,Pass
S138,Flipped,Male,Public,5.3,64.0,71.8,69.0,Pass
S139,Flipped,Female,Public,8.7,66.2,70.1,85.0,Pass
S140,Flipped,Male,Public,9.3,52.5,52.7,86.0,Fail
S141,Flipped,Female,Private,6.6,57.4,79.2,69.0,Pass
S142,Flipped,Female,Public,2.4,80.4,82.2,69.0,Pass
S143,Flipped,Male,Private,4.0,65.4,65.1,69.0,Pass
S144,Flipped,Female,Public,4.5,63.4,62.1,93.0,Pass
S145,Flipped,Male,Public,3.6,51.3,44.6,75.0,Fail
S146,Flipped,Female,Public,7.8,61.2,73.8,83.0,Pass
S147,Flipped,Male,Public,6.9,64.2,72.9,80.0,Pass
S148,Flipped,Female,Private,8.4,48.0,60.6,82.0,Pass
S149,Flipped,Male,Private,11.6,48.7,75.5,81.0,Pass
S150,Flipped,Male,Private,3.1,55.9,69.5,62.0,Pass
S151,Flipped,Female,Private,6.3,65.4,78.8,88.0,Pass
S152,Flipped,Male,Private,5.6,58.1,62.4,92.0,Pass
S153,Flipped,Female,Private,4.2,45.8,43.9,80.0,Fail
S154,Flipped,Male,Private,4.5,59.0,66.0,61.0,Pass
S155,Flipped,Female,Public,3.3,49.9,66.2,80.0,Pass
S156,Flipped,Female,Public,5.0,81.4,96.6,56.0,Pass
S157,Flipped,Male,Public,7.0,69.3,87.7,70.0,Pass
S158,Flipped,Male,Public,4.0,76.6,81.6,60.0,Pass
S159,Flipped,Male,Public,14.4,70.7,92.7,97.0,Pass
S160,Flipped,Female,Public,2.5,30.5,45.2,84.0,Fail
S161,Project-based,Female,Public,7.0,63.4,71.4,73.0,Pass
S162,Project-based,Female,Public,13.6,69.2,90.3,55.0,Pass
S163,Project-based,Male,Public,8.3,58.9,73.1,81.0,Pass
S164,Project-based,Female,Public,9.1,50.6,69.2,82.0,Pass
S165,Project-based,Male,Public,8.7,56.5,73.4,83.0,Pass
S166,Project-based,Female,Public,4.4,55.3,77.8,89.0,Pass
S167,Project-based,Female,Private,9.2,55.5,73.6,96.0,Pass
S168,Project-based,Female,Private,3.4,66.6,73.0,91.0,Pass
S169,Project-based,Female,Public,3.3,42.3,61.6,82.0,Pass
S170,Project-based,Female,Private,8.7,51.4,65.0,99.0,Pass
S171,Project-based,Female,Private,8.2,67.8,73.4,70.0,Pass
S172,Project-based,Male,Private,6.4,78.8,91.3,94.0,Pass
S173,Project-based,Female,Public,4.2,67.7,90.0,77.0,Pass
S174,Project-based,Male,Public,7.9,62.1,86.4,90.0,Pass
S175,Project-based,Female,Public,4.2,45.8,56.8,89.0,Fail
S176,Project-based,Female,Public,4.4,62.6,73.6,75.0,Pass
S177,Project-based,Male,Private,4.8,65.0,82.1,86.0,Pass
S178,Project-based,Female,Public,3.9,50.9,50.1,83.0,Fail
S179,Project-based,Male,Public,8.5,42.7,76.2,97.0,Pass
S180,Project-based,Male,Private,4.9,57.5,67.9,66.0,Pass
S181,Project-based,Female,Public,14.8,56.3,88.5,75.0,Pass
S182,Project-based,Male,Public,3.0,67.3,65.2,83.0,Pass
S183,Project-based,Male,Private,4.2,58.9,66.6,95.0,Pass
S184,Project-based,Male,Public,6.5,50.4,69.3,97.0,Pass
S185,Project-based,Female,Private,4.1,53.7,70.5,80.0,Pass
S186,Project-based,Female,Public,13.0,59.5,79.5,93.0,Pass
S187,Project-based,Male,Private,3.5,61.8,72.1,77.0,Pass
S188,Project-based,Female,Private,8.3,46.4,61.2,79.0,Pass
S189,Project-based,Female,Public,4.8,66.2,81.3,63.0,Pass
S190,Project-based,Male,Public,15.1,71.5,90.0,95.0,Pass
S191,Project-based,Female,Public,6.1,48.8,60.0,62.0,Pass
S192,Project-based,Male,Private,4.8,77.6,93.6,80.0,Pass
S193,Project-based,Male,Private,6.2,47.2,65.0,90.0,Pass
S194,Project-based,Male,Public,12.5,53.2,74.0,87.0,Pass
S195,Project-based,Female,Private,6.7,32.9,42.1,62.0,Fail
S196,Project-based,Male,Private,9.9,68.6,82.8,63.0,Pass
S197,Project-based,Female,Public,7.4,75.5,93.8,67.0,Pass
S198,Project-based,Female,Public,8.1,62.9,77.6,83.0,Pass
S199,Project-based,Female,Public,4.6,59.7,77.1,70.0,Pass
S200,Project-based,Female,Public,8.8,51.6,74.5,98.0,Pass
S201,Project-based,Female,Private,12.6,63.3,80.8,95.0,Pass
S202,Project-based,Female,Public,7.4,70.1,79.5,73.0,Pass
S203,Project-based,Male,Public,6.9,54.2,73.3,81.0,Pass
S204,Project-based,Male,Private,13.9,59.4,82.7,89.0,Pass
S205,Project-based,Male,Public,5.4,51.3,63.7,96.0,Pass
S206,Project-based,Male,Private,6.2,57.2,62.8,91.0,Pass
S207,Project-based,Female,Public,3.4,50.7,63.0,84.0,Pass
S208,Project-based,Male,Public,3.4,81.0,86.6,82.0,Pass
S209,Project-based,Male,Public,5.1,67.0,73.6,85.0,Pass
S210,Project-based,Female,Private,6.9,33.4,47.5,50.0,Fail
S211,Project-based,Female,Private,2.2,40.5,52.3,77.0,Fail
S212,Project-based,Male,Private,6.9,55.2,62.8,46.0,Pass
S213,Project-based,Male,Public,4.1,46.3,64.2,82.0,Pass
S214,Project-based,Female,Private,3.2,66.7,72.5,96.0,Pass
S215,Project-based,Female,Public,4.9,60.3,79.8,41.0,Pass
S216,Project-based,Male,Public,4.7,72.7,74.7,67.0,Pass
S217,Project-based,Female,Public,5.0,72.2,84.2,87.0,Pass
S218,Project-based,Female,Private,6.3,60.1,72.5,91.0,Pass
S219,Project-based,Female,Public,12.1,66.9,98.3,81.0,Pass
S220,Project-based,Male,Public,6.8,72.8,80.2,92.0,Pass
S221,Project-based,Male,Public,5.6,55.4,66.5,99.0,Pass
S222,Project-based,Male,Private,8.3,47.6,60.0,90.0,Pass
S223,Project-based,Female,Public,5.2,64.2,80.4,66.0,Pass
S224,Project-based,Female,Public,3.1,59.9,74.4,54.0,Pass
S225,Project-based,Male,Private,7.2,46.3,71.4,82.0,Pass
S226,Project-based,Male,Public,8.1,67.9,77.0,57.0,Pass
S227,Project-based,Female,Private,6.7,69.7,76.1,90.0,Pass
S228,Project-based,Female,Private,13.6,86.4,100.0,84.0,Pass
S229,Project-based,Female,Public,8.7,63.2,81.1,78.0,Pass
S230,Project-based,Female,Private,10.5,48.4,84.2,84.0,Pass
S231,Project-based,Female,Public,13.5,49.1,73.9,71.0,Pass
S232,Project-based,Female,Public,3.4,67.8,78.6,91.0,Pass
S233,Project-based,Female,Public,4.7,39.3,41.5,64.0,Fail
S234,Project-based,Female,Public,6.6,47.7,53.9,82.0,Fail
S235,Project-based,Female,Public,5.0,50.8,61.8,91.0,Pass
S236,Project-based,Male,Public,1.0,68.6,79.6,92.0,Pass
S237,Project-based,Male,Public,4.1,47.2,51.2,84.0,Fail
S238,Project-based,Male,Public,6.3,51.2,68.7,70.0,Pass
S239,Project-based,Female,Private,4.1,58.4,58.4,96.0,Fail
S240,Project-based,Male,Public,8.0,56.0,83.2,83.0,Pass
