date,sales,promo,temperature
2023-04-10,210.0,0,22.9
2023-04-11,195.7,0,20.6
2023-04-12,237.8,0,20.5
2023-04-13,214.9,0,21.7
2023-04-14,266.1,0,22.9
2023-04-15,285.3,1,20.7
2023-04-16,227.7,0,22.7
2023-04-17,239.7,0,20.0
2023-04-18,237.7,0,23.9
2023-04-19,212.0,0,21.3
2023-04-20,218.2,0,19.9
2023-04-21,230.6,0,21.6
2023-04-22,236.6,0,25.0
2023-04-23,234.7,0,20.5
2023-04-24,257.6,1,20.8
2023-04-25,219.4,0,23.4
2023-04-26,249.3,1,22.9
2023-04-27,228.4,0,20.6
2023-04-28,244.0,0,23.1
2023-04-29,254.2,0,23.7
2023-04-30,236.5,0,21.5
2023-05-01,212.2,0,24.5
2023-05-02,226.1,0,28.9
2023-05-03,225.1,0,28.9
2023-05-04,231.4,0,21.9
2023-05-05,244.7,0,24.8
2023-05-06,236.8,0,20.8
2023-05-07,225.3,0,21.7
2023-05-08,,0,24.8
2023-05-09,253.0,0,24.5
2023-05-10,246.9,0,27.2
2023-05-11,233.8,0,28.8
2023-05-12,226.0,0,28.5
2023-05-13,248.9,0,25.2
2023-05-14,229.3,0,26.2
2023-05-15,237.8,0,27.0
2023-05-16,235.5,0,27.6
2023-05-17,228.1,0,25.6
2023-05-18,233.8,0,27.0
2023-05-19,252.2,0,28.9
2023-05-20,264.3,0,29.3
2023-05-21,244.0,0,23.0
2023-05-22,227.5,0,22.8
2023-05-23,218.9,0,27.2
2023-05-24,242.7,0,25.4
2023-05-25,214.4,0,27.1
2023-05-26,263.4,0,25.7
2023-05-27,254.4,0,26.4
2023-05-28,300.7,1,24.5
2023-05-29,221.6,0,30.4
2023-05-30,244.5,0,30.3
2023-05-31,214.7,0,28.7
2023-06-01,240.9,0,28.3
2023-06-02,240.4,0,25.9
2023-06-03,291.8,1,29.2
2023-06-04,227.2,0,27.5
2023-06-05,247.2,0,27.9
2023-06-07,,0,28.3
2023-06-08,233.7,0,30.7
2023-06-09,259.1,0,30.1
2023-06-10,269.3,0,31.9
2023-06-11,223.1,0,29.1
2023-06-12,616.2,0,31.2
2023-06-13,222.8,0,29.9
2023-06-14,227.1,0,30.9
2023-06-15,236.6,0,28.5
2023-06-16,263.8,0,32.4
2023-06-17,254.9,0,31.7
2023-06-18,225.5,0,31.1
2023-06-19,274.2,1,33.1
2023-06-20,242.0,0,30.2
2023-06-21,243.1,0,32.6
2023-06-22,236.6,0,31.7
2023-06-23,276.1,0,28.2
2023-06-24,237.8,0,29.4
2023-06-25,236.5,0,30.4
2023-06-26,242.6,0,33.7
2023-06-27,257.8,0,31.1
2023-06-28,261.2,0,30.8
2023-06-29,236.6,0,32.9
2023-06-30,254.2,0,31.5
2023-07-01,268.0,0,33.5
2023-07-02,279.9,1,32.8
2023-07-03,234.0,0,32.7
2023-07-04,250.9,0,30.5
2023-07-05,244.3,0,28.3
2023-07-06,229.3,0,30.8
2023-07-07,245.9,0,30.9
2023-07-08,258.7,0,32.1
2023-07-09,228.4,0,33.7
2023-07-10,241.3,0,31.6
2023-07-11,253.2,0,31.8
2023-07-12,231.3,0,34.4
2023-07-13,247.9,0,31.3
2023-07-14,279.0,0,29.7
2023-07-15,237.6,0,32.8
2023-07-16,226.9,0,29.7
2023-07-17,233.3,0,31.8
2023-07-18,233.0,0,29.9
2023-07-19,249.5,0,33.7
2023-07-20,,0,33.1
2023-07-21,299.2,1,30.6
2023-07-22,279.7,1,29.7
2023-07-23,236.7,0,28.7
2023-07-24,239.4,0,29.1
2023-07-25,288.1,1,31.3
2023-07-26,237.5,0,28.6
2023-07-27,252.0,0,29.5
2023-07-28,245.5,0,28.7
2023-07-29,258.3,0,32.6
2023-07-30,220.4,0,28.1
2023-07-31,231.5,0,36.2
2023-08-01,274.8,1,30.7
2023-08-02,231.0,0,27.2
2023-08-03,227.3,0,30.9
2023-08-04,296.9,1,29.8
2023-08-05,246.1,0,27.4
2023-08-06,234.8,0,27.9
2023-08-07,248.1,0,34.9
2023-08-09,247.5,0,29.4
2023-08-10,242.3,0,31.7
2023-08-11,270.6,0,27.7
2023-08-12,238.7,0,30.7
2023-08-13,235.1,0,28.5
2023-08-14,248.0,0,29.3
2023-08-15,232.3,0,27.3
2023-08-16,274.4,1,30.9
2023-08-17,243.4,0,30.8
2023-08-18,248.8,0,31.0
2023-08-19,266.3,0,28.7
2023-08-20,255.8,0,29.9
2023-08-21,216.3,0,30.8
2023-08-22,225.3,0,28.0
2023-08-23,216.9,0,28.6
2023-08-24,235.8,0,28.9
2023-08-25,257.2,0,34.7
2023-08-26,220.2,0,30.3
2023-08-27,218.3,0,24.7
2023-08-28,226.2,0,26.7
2023-08-29,224.2,0,27.1
2023-08-30,221.1,0,30.2
2023-08-31,240.4,0,30.9
2023-09-01,,0,27.3
2023-09-02,251.2,0,28.8
2023-09-03,238.6,0,28.5
2023-09-04,219.1,0,31.5
2023-09-05,226.0,0,31.0
2023-09-06,229.7,0,27.5
2023-09-07,234.7,0,29.1
2023-09-08,232.1,0,28.1
2023-09-09,246.6,0,30.5
2023-09-10,232.6,0,27.2
2023-09-11,235.8,0,26.3
2023-09-12,227.9,0,26.0
2023-09-13,206.2,0,24.5
2023-09-14,227.3,0,27.5
2023-09-15,233.0,0,24.9
2023-09-16,238.1,0,26.3
2023-09-17,217.5,0,28.8
2023-09-18,216.9,0,25.7
2023-09-19,214.0,0,25.9
2023-09-20,243.6,0,26.4
2023-09-21,218.1,0,24.7
2023-09-22,238.4,0,28.8
2023-09-23,232.8,0,23.5
2023-09-24,221.8,0,30.0
2023-09-25,224.7,0,26.3
2023-09-26,212.5,0,25.4
2023-09-27,230.1,0,29.5
2023-09-28,223.5,0,24.9
2023-09-29,233.0,0,23.6
2023-09-30,218.9,0,26.4
2023-10-01,227.2,0,28.2
2023-10-02,209.1,0,25.7
2023-10-03,207.3,0,26.9
2023-10-04,213.9,0,26.2
2023-10-05,221.6,0,22.5
2023-10-06,224.8,0,25.6
2023-10-08,233.3,0,21.7
2023-10-09,197.7,0,25.0
2023-10-10,199.1,0,25.8
2023-10-11,,0,22.9
2023-10-12,263.7,1,26.2
2023-10-13,234.0,0,24.4
2023-10-14,250.5,0,24.8
2023-10-15,231.8,0,21.2
2023-10-16,207.4,0,23.3
2023-10-17,191.6,0,23.0
2023-10-18,200.4,0,21.3
2023-10-19,,0,20.2
2023-10-20,221.2,0,19.2
2023-10-21,215.9,0,21.5
2023-10-22,215.2,0,23.0
2023-10-23,198.4,0,24.9
2023-10-24,199.9,0,22.4
2023-10-25,224.6,0,23.3
2023-10-26,222.8,0,24.2
2023-10-28,219.5,0,20.3
2023-10-29,206.6,0,21.5
2023-10-30,195.4,0,19.2
2023-10-31,206.2,0,18.7
2023-11-01,198.7,0,15.5
2023-11-02,196.2,0,20.2
2023-11-03,210.8,0,20.7
2023-11-04,214.9,0,21.0
2023-11-05,225.4,0,20.7
2023-11-06,187.0,0,17.0
2023-11-07,206.9,0,18.4
2023-11-08,205.2,0,19.1
2023-11-09,198.3,0,19.6
2023-11-10,236.3,0,18.5
2023-11-11,223.1,0,17.6
2023-11-12,207.0,0,18.8
2023-11-13,210.5,0,18.5
2023-11-15,214.9,0,20.1
2023-11-16,527.2800000000001,0,17.2
2023-11-18,221.2,0,19.9
2023-11-19,205.1,0,14.7
2023-11-20,192.0,0,19.1
2023-11-21,207.2,0,17.8
2023-11-22,197.1,0,14.8
2023-11-23,249.3,1,16.8
2023-11-24,226.8,0,18.5
2023-11-25,253.0,0,14.3
2023-11-26,198.6,0,14.5
2023-11-27,189.5,0,15.6
2023-11-28,205.1,0,15.4
2023-11-29,193.1,0,16.3
2023-11-30,212.8,0,17.7
2023-12-01,203.2,0,16.8
2023-12-02,210.5,0,15.4
2023-12-03,259.4,1,15.9
2023-12-04,212.5,0,13.5
2023-12-05,203.0,0,14.1
2023-12-06,193.1,0,17.4
2023-12-07,211.6,0,14.3
2023-12-08,238.2,0,14.2
2023-12-09,208.7,0,16.5
2023-12-10,207.0,0,18.0
2023-12-11,227.1,0,14.0
2023-12-12,243.9,1,13.4
2023-12-13,206.3,0,16.7
2023-12-14,211.4,0,15.4
2023-12-15,210.4,0,12.3
2023-12-16,201.9,0,15.5
2023-12-17,240.2,1,16.7
2023-12-18,220.5,0,11.8
2023-12-19,214.6,0,12.9
2023-12-20,211.4,0,11.9
2023-12-21,199.5,0,17.0
2023-12-22,226.1,0,17.2
2023-12-23,219.8,0,11.8
2023-12-24,212.9,0,11.1
2023-12-25,196.0,0,12.5
2023-12-26,238.2,0,13.9
2023-12-27,210.2,0,14.1
2023-12-28,208.1,0,13.5
2023-12-29,210.8,0,15.7
2023-12-30,206.4,0,12.3
2023-12-31,228.0,1,15.8
2024-01-02,211.0,0,14.1
2024-01-03,251.3,1,15.1
2024-01-04,211.0,0,13.0
2024-01-05,275.1,1,17.6
2024-01-06,215.7,0,12.9
2024-01-07,203.3,0,13.9
2024-01-08,202.2,0,13.8
2024-01-09,222.7,0,12.4
2024-01-10,216.6,0,12.4
2024-01-11,228.8,0,11.5
2024-01-12,209.0,0,16.7
2024-01-13,257.4,1,12.4
2024-01-14,206.7,0,11.9
2024-01-15,199.4,0,13.7
2024-01-16,208.2,0,13.6
2024-01-17,226.3,0,14.2
2024-01-18,223.1,0,16.3
2024-01-19,210.9,0,13.6
2024-01-20,232.7,0,11.3
2024-01-21,218.8,0,13.7
2024-01-22,232.7,0,12.4
2024-01-23,206.9,0,11.4
2024-01-24,198.7,0,10.5
2024-01-25,215.3,0,14.2
2024-01-26,215.7,0,15.4
2024-01-27,212.3,0,15.2
2024-01-28,212.9,0,14.5
2024-01-29,203.7,0,13.0
2024-01-30,217.4,0,11.5
2024-01-31,208.5,0,12.1
2024-02-01,199.4,0,15.7
2024-02-02,247.1,0,14.3
2024-02-03,254.2,0,11.8
2024-02-04,205.2,0,17.3
2024-02-05,200.7,0,13.8
2024-02-06,215.5,0,15.3
2024-02-07,244.0,1,10.8
2024-02-08,225.5,0,11.6
2024-02-09,238.3,0,15.2
2024-02-10,240.9,0,12.1
2024-02-12,211.9,0,11.2
2024-02-13,208.7,0,12.3
2024-02-14,238.6,0,15.0
2024-02-15,207.4,0,14.9
2024-02-16,243.2,0,14.5
2024-02-17,232.7,0,13.1
2024-02-18,209.9,0,11.7
2024-02-19,261.7,1,16.2
2024-02-20,237.5,0,13.5
2024-02-21,236.7,0,14.7
2024-02-22,223.5,0,15.4
2024-02-23,207.9,0,11.9
2024-02-24,240.1,0,13.0
2024-02-25,254.9,1,15.4
2024-02-26,218.5,0,13.3
2024-02-27,243.7,0,13.9
2024-02-28,220.2,0,15.0
2024-02-29,222.5,0,13.7
2024-03-01,238.1,0,15.5
2024-03-02,262.1,0,16.7
2024-03-03,200.0,0,16.3
2024-03-04,242.2,0,14.5
2024-03-05,245.8,0,15.1
2024-03-06,235.9,0,14.2
2024-03-07,227.1,0,16.0
2024-03-08,247.1,0,15.2
2024-03-09,265.5,0,16.0
2024-03-10,234.0,0,19.3
2024-03-12,223.4,0,14.4
2024-03-13,240.2,0,16.9
2024-03-14,227.3,0,17.0
2024-03-15,218.6,0,18.4
2024-03-16,264.9,0,17.0
2024-03-17,227.4,0,16.7
2024-03-18,246.2,0,17.1
2024-03-19,224.6,0,20.1
2024-03-20,,0,17.6
2024-03-21,259.4,0,19.3
2024-03-22,250.6,0,16.5
2024-03-23,265.3,0,20.1
2024-03-24,260.4,1,17.8
2024-03-25,238.3,0,18.7
2024-03-26,248.7,0,18.8
2024-03-27,259.5,0,17.1
2024-03-28,256.3,0,18.4
2024-03-29,259.2,0,19.6
2024-03-30,270.6,0,19.7
2024-03-31,247.3,0,18.0
2024-04-01,238.0,0,19.7
2024-04-03,239.2,0,16.7
2024-04-04,232.6,0,18.8
2024-04-05,274.0,0,19.4
2024-04-06,259.4,0,17.5
2024-04-07,251.7,0,18.8
2024-04-08,241.8,0,19.5
2024-04-09,242.8,0,21.2
2024-04-10,297.2,1,19.1
2024-04-11,231.4,0,20.4
2024-04-12,280.9,0,17.4
2024-04-13,254.4,0,18.5
2024-04-14,237.8,0,19.4
2024-04-15,245.0,0,19.9
2024-04-16,269.6,0,19.7
2024-04-17,264.6,0,22.4
2024-04-18,272.4,0,18.9
2024-04-19,261.4,0,23.9
2024-04-20,293.6,1,22.3
2024-04-21,266.2,0,19.3
2024-04-22,253.7,0,25.6
2024-04-23,288.7,1,21.6
2024-04-24,248.9,0,22.4
2024-04-25,259.7,0,22.0
2024-04-26,268.2,0,25.4
2024-04-27,254.8,0,25.1
2024-04-28,251.6,0,22.8
2024-04-29,238.9,0,24.2
2024-04-30,237.0,0,24.8
2024-05-01,269.1,0,23.9
2024-05-02,241.2,0,23.8
2024-05-03,260.6,0,24.2
2024-05-04,280.6,0,24.3
2024-05-05,321.7,1,22.1
2024-05-06,265.1,0,24.3
2024-05-07,266.7,0,21.2
2024-05-08,259.0,0,26.0
2024-05-09,253.6,0,24.5
2024-05-10,267.4,0,25.7
2024-05-11,285.5,0,24.0
2024-05-12,262.0,0,22.4
2024-05-13,260.4,0,27.8
2024-05-14,255.8,0,24.0
2024-05-15,268.0,0,29.7
2024-05-16,243.1,0,29.4
2024-05-17,290.7,0,30.5
2024-05-18,286.5,0,24.4
2024-05-19,298.5,1,27.1
2024-05-20,277.0,0,26.8
2024-05-21,285.1,0,27.6
2024-05-22,271.4,0,28.7
2024-05-23,249.2,0,30.3
2024-05-24,288.2,0,26.5
2024-05-25,285.5,0,24.0
2024-05-26,244.5,0,24.7
2024-05-27,269.1,0,25.3
2024-05-28,253.3,0,28.6
2024-05-29,277.0,0,28.5
2024-05-30,656.24,0,30.8
2024-05-31,284.6,0,26.7
2024-06-01,318.9,0,27.6
2024-06-02,301.6,0,30.3
2024-06-03,293.7,0,28.7
2024-06-04,290.6,0,30.2
2024-06-05,300.3,0,31.2
2024-06-06,308.3,0,25.8
2024-06-07,314.5,0,30.6
2024-06-08,305.6,0,29.0
2024-06-09,335.0,1,27.1
2024-06-10,296.1,0,26.2
2024-06-11,301.6,0,27.8
2024-06-12,293.3,0,28.5
2024-06-13,308.0,0,28.9
2024-06-14,322.2,0,30.8
2024-06-15,335.5,0,30.0
2024-06-16,290.0,0,30.6
2024-06-17,319.4,0,30.1
2024-06-18,318.0,0,29.1
2024-06-19,301.9,0,29.1
2024-06-21,315.8,0,31.3
2024-06-22,350.0,1,32.1
2024-06-23,306.8,0,29.0
2024-06-24,309.0,0,30.3
2024-06-25,308.4,0,30.8
2024-06-26,308.5,0,26.5
2024-06-27,282.4,0,29.2
2024-06-28,313.9,0,24.1
2024-06-29,306.1,0,31.0
2024-06-30,295.0,0,32.0
2024-07-01,302.0,0,31.4
2024-07-02,339.3,1,30.0
2024-07-03,333.8,0,30.6
2024-07-04,308.5,0,31.1
2024-07-05,320.3,0,31.1
2024-07-06,302.2,0,31.3
2024-07-07,299.5,0,29.5
2024-07-08,306.1,0,31.3
2024-07-09,290.6,0,30.4
2024-07-10,303.5,0,32.3
2024-07-11,302.8,0,31.4
2024-07-12,316.3,0,27.9
2024-07-13,318.0,0,33.5
2024-07-14,303.7,0,32.1
2024-07-15,307.9,0,28.8
2024-07-16,297.9,0,34.0
2024-07-17,284.3,0,29.8
2024-07-18,313.6,0,29.3
2024-07-19,331.9,0,30.4
2024-07-20,321.6,0,33.1
2024-07-21,314.6,0,31.4
2024-07-22,291.3,0,28.9
2024-07-23,295.1,0,31.8
2024-07-24,316.9,0,32.4
2024-07-25,304.3,0,29.2
2024-07-26,357.5,1,31.2
2024-07-27,340.5,0,29.6
2024-07-28,313.1,0,32.1
2024-07-29,290.2,0,29.5
2024-07-30,298.4,0,25.8
2024-07-31,293.8,0,30.9
2024-08-01,324.8,1,29.4
2024-08-02,315.2,0,29.0
2024-08-03,302.4,0,31.1
2024-08-04,300.1,0,29.1
2024-08-05,296.5,0,33.3
2024-08-06,304.0,0,29.0
2024-08-07,285.9,0,32.1
2024-08-08,290.2,0,30.8
2024-08-09,307.9,0,32.1
2024-08-10,328.0,1,30.6
2024-08-11,338.6,1,27.8
2024-08-12,289.1,0,31.2
2024-08-13,316.2,0,31.3
2024-08-14,302.5,0,30.5
2024-08-15,292.6,0,31.1
2024-08-16,301.3,0,25.6
2024-08-17,306.5,0,27.8
2024-08-18,296.5,0,30.0
2024-08-19,309.9,0,31.8
2024-08-20,285.9,0,27.2
2024-08-21,286.6,0,24.8
2024-08-22,300.5,0,31.1
2024-08-23,326.0,0,34.0
2024-08-24,296.4,0,32.5
2024-08-25,346.1,1,26.9
2024-08-26,288.1,0,31.2
2024-08-27,290.5,0,27.8
2024-08-28,316.2,0,31.4
2024-08-30,346.0,1,32.7
2024-08-31,306.6,0,28.8
2024-09-01,272.7,0,28.5
2024-09-02,285.9,0,27.8
2024-09-03,296.0,0,28.0
2024-09-04,277.1,0,25.7
2024-09-05,293.2,0,28.5
2024-09-06,300.3,0,29.8
2024-09-07,297.7,0,26.2
2024-09-08,293.9,0,28.0
2024-09-10,286.1,0,28.6
2024-09-11,299.6,0,30.1
2024-09-12,261.7,0,25.8
2024-09-13,312.4,0,24.6
2024-09-14,301.4,0,30.1
2024-09-15,267.9,0,25.0
2024-09-16,290.8,0,25.7
2024-09-17,286.6,0,28.8
2024-09-18,296.7,0,28.6
2024-09-19,267.1,0,29.3
2024-09-20,287.6,0,25.2
2024-09-21,301.3,0,27.6
2024-09-22,281.5,0,27.0
2024-09-23,288.0,0,25.8
2024-09-24,259.8,0,27.7
2024-09-25,292.4,0,24.0
2024-09-26,281.8,0,25.9
2024-09-27,298.5,0,27.1
2024-09-28,306.7,0,24.4
2024-09-29,280.0,0,26.2
2024-09-30,306.3,0,23.9
2024-10-01,277.6,0,23.2
2024-10-02,282.4,0,23.2
2024-10-03,281.3,0,22.4
2024-10-04,285.7,0,23.3
2024-10-05,312.3,0,21.1
2024-10-06,276.6,0,25.0
2024-10-07,,0,26.0
2024-10-08,260.0,0,25.3
2024-10-09,289.4,0,23.7
2024-10-11,303.1,0,26.1
2024-10-12,303.1,0,22.0
2024-10-13,273.9,0,25.7
2024-10-14,263.8,0,21.7
2024-10-15,283.4,0,21.8
2024-10-16,286.7,0,21.8
2024-10-17,276.7,0,21.5
2024-10-18,298.6,0,20.2
2024-10-19,271.9,0,22.8
2024-10-20,310.1,1,21.5
2024-10-21,276.2,0,19.4
2024-10-22,287.2,0,19.5
2024-10-23,262.0,0,25.1
2024-10-24,288.0,0,24.1
2024-10-25,327.1,1,25.4
2024-10-26,307.1,0,20.6
2024-10-27,265.5,0,21.0
2024-10-28,277.5,0,17.6
2024-10-29,267.3,0,17.3
2024-10-30,302.8,0,19.7
2024-10-31,257.0,0,22.4
2024-11-01,267.9,0,19.6
2024-11-02,287.9,0,19.9
2024-11-03,274.8,0,20.5
2024-11-04,259.6,0,18.9
2024-11-05,275.7,0,15.6
2024-11-06,275.2,0,17.6
2024-11-07,273.4,0,18.9
2024-11-08,277.6,0,17.3
2024-11-09,288.2,0,18.0
2024-11-10,272.3,0,18.7
2024-11-11,268.4,0,22.2
2024-11-12,254.1,0,16.4
2024-11-13,282.6,0,16.4
2024-11-14,303.7,1,16.2
2024-11-15,302.9,0,19.4
2024-11-17,251.3,0,15.5
2024-11-18,251.5,0,17.7
2024-11-19,256.9,0,17.5
2024-11-20,,0,17.6
2024-11-21,269.0,0,15.7
2024-11-22,277.5,0,19.7
2024-11-23,293.3,0,16.2
2024-11-24,301.3,0,16.3
2024-11-25,273.8,0,17.2
2024-11-27,,0,17.3
2024-11-28,241.7,0,13.3
2024-11-29,294.6,0,18.2
2024-11-30,322.7,1,15.2
2024-12-01,290.6,0,16.3
2024-12-02,269.3,0,15.6
2024-12-03,247.4,0,14.4
2024-12-04,262.9,0,16.8
2024-12-05,236.7,0,15.5
2024-12-06,283.8,0,17.4
2024-12-07,326.3,1,16.8
2024-12-09,280.5,0,15.3
2024-12-10,267.3,0,14.4
2024-12-11,256.3,0,17.6
2024-12-12,280.9,0,14.8
2024-12-13,287.6,0,16.4
2024-12-14,285.4,0,15.2
2024-12-15,243.7,0,12.6
2024-12-16,276.5,0,10.2
2024-12-17,269.8,0,15.4
2024-12-18,252.2,0,12.3
2024-12-19,279.1,0,14.1
2024-12-20,284.3,0,15.9
2024-12-21,299.2,0,17.3
2024-12-22,267.7,0,9.5
2024-12-23,276.3,0,11.2
2024-12-24,253.6,0,17.0
2024-12-25,247.3,0,17.9
2024-12-26,283.1,0,12.3
2024-12-27,265.9,0,13.6
2024-12-28,292.8,0,14.7
2024-12-29,264.4,0,9.6
2024-12-30,282.9,0,14.1
2024-12-31,272.4,0,15.2
