application_id,customer_id,application_date,age,income,employment,home_ownership,region,credit_history_years,loan_amount,term_months,late_payments,debt_to_income,sent_to_collections,default
A02605,CU01901,2021-01-08,43,16200.0,Salaried,Mortgage,West,5,11600.0,12,0,0.822,0,0
A01091,CU00812,2021-01-08,23,23000.0,Salaried,Rent,East,3,6300.0,12,1,0.621,1,1
A02130,CU01558,2021-01-09,45,100900.0,Salaried,Own,West,10,57500.0,60,1,0.715,1,1
A02430,CU01772,2021-01-09,40,57000.0,Salaried,Rent,South,4,39200.0,24,1,0.911,0,0
A01031,CU00762,2021-01-09,29,26900.0,Salaried,Rent,North,10,13600.0,36,3,0.682,1,1
A00275,CU00204,2021-01-09,47,11400.0,Salaried,Rent,South,11,8400.0,36,2,0.887,1,1
A01512,CU01103,2021-01-09,59,36200.0,Salaried,Own,North,8,32300.0,24,4,1.061,0,0
A01100,CU00817,2021-01-10,47,43300.0,Self-employed,Mortgage,South,11,27300.0,24,0,0.886,0,0
A01732,CU01266,2021-01-11,37,13500.0,Salaried,Rent,North,5,11200.0,60,1,0.999,0,1
A00766,CU00545,2021-01-11,34,27000.0,Self-employed,Rent,West,6,9300.0,60,0,0.553,0,0
A00539,CU00393,2021-01-12,44,39100.0,Salaried,Rent,West,8,19700.0,24,1,0.694,0,0
A01178,CU00863,2021-01-12,49,16700.0,Salaried,Mortgage,South,0,11500.0,60,1,0.976,0,0
A01746,CU01276,2021-01-12,47,47900.0,Self-employed,Rent,North,0,13800.0,12,1,0.597,0,1
A02794,CU02050,2021-01-13,60,36500.0,Salaried,Own,North,11,21800.0,24,0,0.841,0,0
A01806,CU01321,2021-01-13,27,35500.0,Public sector,Rent,North,0,15700.0,12,1,0.594,0,0
A02175,CU01593,2021-01-14,39,67700.0,Public sector,Rent,North,3,37600.0,60,0,0.75,0,0
A02659,CU01944,2021-01-15,37,53000.0,Salaried,Mortgage,South,7,17300.0,12,0,0.553,0,0
A01453,CU01058,2021-01-16,40,38100.0,Salaried,Rent,East,10,11900.0,36,0,0.624,0,0
A00304,CU00223,2021-01-16,49,40500.0,Salaried,Own,North,0,6100.0,60,0,0.507,0,0
A02255,CU01651,2021-01-16,53,36600.0,Self-employed,Rent,North,12,16400.0,36,0,0.629,0,0
A02246,CU01643,2021-01-17,35,41500.0,Public sector,Rent,East,0,15500.0,36,0,0.494,0,0
A00608,CU00442,2021-01-17,37,26900.0,Salaried,Rent,South,8,22400.0,24,0,1.083,1,1
A01029,CU00760,2021-01-17,44,30500.0,Salaried,Mortgage,North,4,5200.0,60,2,0.318,0,0
A01577,CU01148,2021-01-17,44,58000.0,Public sector,Mortgage,South,11,10700.0,36,0,0.427,0,0
A01094,CU00813,2021-01-17,47,49600.0,Salaried,Own,South,8,23800.0,60,1,0.526,0,0
A01018,CU00752,2021-01-18,44,57300.0,Salaried,Rent,South,1,49000.0,24,2,0.884,1,1
A01973,CU01445,2021-01-19,57,40900.0,Salaried,Rent,West,8,8700.0,36,3,0.315,0,0
A02488,CU01810,2021-01-19,37,39000.0,Public sector,Rent,South,1,28400.0,24,1,0.965,1,1
A01360,CU00990,2021-01-19,47,76600.0,Salaried,Own,South,7,37800.0,12,0,0.724,0,0
A01908,CU01393,2021-01-20,51,74000.0,Self-employed,Own,North,12,37700.0,12,0,0.494,0,0
A01593,CU01159,2021-01-20,48,27400.0,Salaried,Own,West,18,11300.0,12,0,0.62,0,0
A02436,CU01778,2021-01-20,49,29500.0,Salaried,Rent,North,6,25400.0,12,1,1.069,0,0
A00552,CU00399,2021-01-20,34,27600.0,Salaried,Rent,West,1,9200.0,36,3,0.557,0,0
A02700,CU01978,2021-01-21,27,36200.0,Salaried,Rent,South,10,4500.0,24,0,0.196,0,0
A00497,CU00364,2021-01-22,45,11800.0,Salaried,Own,South,0,6900.0,24,1,0.79,0,0
A01618,CU01181,2021-01-23,23,45700.0,Salaried,Own,North,9,14800.0,12,1,0.669,1,1
A01770,CU01294,2021-01-24,51,49900.0,Salaried,Mortgage,East,22,7600.0,24,0,0.517,0,0
A02181,CU01595,2021-01-24,32,29100.0,Public sector,Rent,East,15,6500.0,12,0,0.471,0,0
A01456,CU01060,2021-01-25,30,26300.0,Salaried,Rent,East,12,16900.0,60,0,0.713,0,0
A00013,CU00010,2021-01-25,66,35600.0,Salaried,Rent,North,8,13600.0,36,1,0.546,0,0
A00507,CU00371,2021-01-25,37,16600.0,Public sector,Mortgage,West,5,2700.0,60,1,0.56,0,0
A01825,CU01333,2021-01-26,45,27900.0,Public sector,Mortgage,East,2,10300.0,60,0,0.575,0,0
A00750,CU00537,2021-01-26,42,33000.0,Self-employed,Mortgage,West,8,15100.0,12,1,0.693,1,1
A01149,CU00844,2021-01-26,35,41400.0,Self-employed,Mortgage,North,15,18400.0,36,1,0.714,0,0
A01761,CU01285,2021-01-26,34,80500.0,Public sector,Own,West,11,33500.0,36,0,0.623,0,0
A00155,CU00108,2021-01-27,44,65300.0,Salaried,Own,North,7,53100.0,60,1,1.063,0,0
A02749,CU02015,2021-01-27,42,35900.0,Salaried,Rent,North,10,16400.0,60,0,0.605,0,0
A00579,CU00421,2021-01-27,33,15900.0,Salaried,Rent,West,9,14300.0,36,0,1.242,0,0
A00476,CU00350,2021-01-27,33,55200.0,Salaried,Own,North,12,34700.0,36,0,0.843,0,0
A00506,CU00370,2021-01-28,30,41900.0,Self-employed,Mortgage,West,8,28700.0,24,0,0.879,0,0
A02687,CU01965,2021-01-28,37,26800.0,Salaried,Rent,South,12,16900.0,60,1,0.95,0,0
A00981,CU00724,2021-01-28,60,47600.0,Self-employed,Mortgage,East,10,14600.0,36,0,0.487,0,0
A02813,CU02062,2021-01-29,41,21600.0,Public sector,Mortgage,North,7,12000.0,60,0,0.718,0,0
A02724,CU01995,2021-01-29,59,65900.0,Unemployed,Rent,East,6,20600.0,12,1,0.585,0,0
A00020,CU00014,2021-01-31,46,26500.0,Public sector,Own,West,6,10300.0,60,1,0.648,0,0
A02389,CU01742,2021-02-01,41,38100.0,Salaried,Rent,West,0,33200.0,24,2,0.924,1,1
A00045,CU00034,2021-02-01,35,50500.0,Salaried,Rent,North,9,30100.0,12,0,0.911,0,0
A00668,CU00483,2021-02-01,38,37900.0,Self-employed,Rent,North,12,26700.0,12,0,0.949,0,0
A01663,CU01211,2021-02-02,41,29900.0,Salaried,Own,East,15,9600.0,60,0,0.461,1,1
A01793,CU01311,2021-02-03,34,16400.0,Public sector,Mortgage,East,0,11700.0,12,0,0.896,0,0
A01587,CU01154,2021-02-03,47,75100.0,Public sector,Rent,South,3,41600.0,12,0,0.712,0,0
A01877,CU01371,2021-02-03,46,27700.0,Public sector,Own,South,4,17700.0,12,3,0.742,1,1
A02119,CU01551,2021-02-03,40,33600.0,Salaried,Own,West,10,20900.0,24,0,0.826,0,0
A01342,CU00977,2021-02-03,24,33000.0,Salaried,Rent,East,16,17500.0,60,0,0.727,0,0
A02421,CU01766,2021-02-04,45,24700.0,Self-employed,Rent,West,12,12400.0,12,0,0.761,0,0
A02677,CU01956,2021-02-04,44,24300.0,Self-employed,Rent,West,13,8200.0,36,1,0.588,0,0
A01725,CU01261,2021-02-04,42,50500.0,Self-employed,Rent,West,10,39200.0,60,0,0.92,0,0
A01611,CU01175,2021-02-04,47,47200.0,Salaried,Mortgage,West,6,33100.0,24,1,0.816,0,0
A00252,CU00186,2021-02-05,37,20600.0,Salaried,Rent,South,0,9400.0,12,0,0.636,0,0
A00002,CU00001,2021-02-05,46,32300.0,Salaried,Mortgage,East,12,13400.0,12,0,0.731,0,0
A01375,CU01003,2021-02-05,22,54200.0,Self-employed,Own,North,11,19200.0,24,0,0.813,0,0
A00853,CU00614,2021-02-06,41,23300.0,Salaried,Rent,East,7,12200.0,60,1,0.609,0,0
A00659,CU00476,2021-02-06,21,54400.0,Salaried,Rent,North,4,41400.0,60,1,0.926,0,0
A02007,CU01469,2021-02-06,53,23200.0,Salaried,Rent,South,10,5800.0,36,0,0.389,0,0
A02006,CU01468,2021-02-07,40,27400.0,Self-employed,Rent,West,8,24600.0,60,2,1.048,0,0
A00756,CU00540,2021-02-07,55,30800.0,Self-employed,Own,West,2,13500.0,60,0,0.78,0,0
A02001,CU01466,2021-02-07,44,62600.0,Salaried,Mortgage,East,0,48200.0,36,0,0.908,0,0
A02494,CU01816,2021-02-07,56,15600.0,Salaried,Rent,North,8,6000.0,36,0,0.466,0,0
A02078,CU01522,2021-02-08,36,60600.0,Salaried,Rent,South,3,26800.0,60,3,0.664,0,0
A00833,CU00596,2021-02-08,37,81300.0,Self-employed,Rent,North,9,67600.0,24,0,1.068,0,0
A01041,CU00771,2021-02-08,40,30500.0,Public sector,Rent,South,3,9100.0,36,1,0.498,0,0
A02539,CU01847,2021-02-08,21,24100.0,Self-employed,Rent,South,6,7500.0,60,2,0.643,0,0
A01478,CU01075,2021-02-10,46,21700.0,Salaried,Own,East,12,5800.0,24,0,0.398,0,0
A01244,CU00908,2021-02-10,49,84800.0,Salaried,Rent,North,13,47600.0,36,1,0.759,0,0
A00870,CU00629,2021-02-10,39,48800.0,Public sector,Mortgage,South,10,20100.0,24,0,0.62,0,0
A01241,CU00905,2021-02-11,38,15800.0,Salaried,Mortgage,North,21,2700.0,36,1,0.436,0,0
A01849,CU01352,2021-02-11,43,62000.0,Salaried,Mortgage,West,14,29700.0,36,0,0.673,1,1
A01818,CU01329,2021-02-12,57,36000.0,Self-employed,Rent,West,4,5300.0,36,1,0.413,0,0
A02302,CU01686,2021-02-12,34,22400.0,Salaried,Mortgage,West,7,8800.0,24,0,0.657,0,0
A01259,CU00916,2021-02-12,39,34800.0,Public sector,Mortgage,North,11,8800.0,60,1,0.484,0,0
A00437,CU00322,2021-02-12,38,15300.0,Salaried,Mortgage,North,13,8300.0,60,1,0.82,0,0
A01427,CU01038,2021-02-12,53,41600.0,Self-employed,Mortgage,North,14,17700.0,36,0,0.668,0,0
A02691,CU01969,2021-02-13,37,57000.0,Salaried,Mortgage,East,5,26300.0,12,0,0.697,0,0
A01236,CU00902,2021-02-13,44,27900.0,Salaried,Mortgage,West,5,8200.0,24,0,0.568,0,0
A02951,CU02161,2021-02-14,45,39000.0,Public sector,Own,East,16,31600.0,36,1,1.132,0,0
A01854,CU01355,2021-02-14,41,43400.0,Salaried,Own,North,8,37200.0,12,2,1.103,0,0
A01198,CU00879,2021-02-14,48,22700.0,Self-employed,Rent,North,7,11400.0,60,3,0.579,0,0
A00075,CU00057,2021-02-14,29,27600.0,Self-employed,Own,South,0,16100.0,60,1,0.765,1,1
A02827,CU02072,2021-02-15,49,53000.0,Unemployed,Mortgage,West,0,28200.0,24,2,0.764,0,0
A02629,CU01922,2021-02-15,69,34800.0,Salaried,Rent,East,6,9700.0,12,0,0.433,0,0
A00938,CU00687,2021-02-15,57,56500.0,Salaried,Mortgage,North,0,12200.0,12,2,0.469,0,0
A00816,CU00583,2021-02-16,49,34300.0,Self-employed,Mortgage,South,4,21200.0,24,0,0.857,0,0
A02689,CU01967,2021-02-16,38,16600.0,Public sector,Mortgage,West,6,12900.0,12,1,0.958,0,0
A02004,CU01467,2021-02-16,46,40600.0,Self-employed,Mortgage,South,6,7900.0,12,0,0.465,0,0
A02905,CU02127,2021-02-17,39,39400.0,Public sector,Mortgage,West,8,11800.0,12,0,0.501,0,0
A01766,CU01290,2021-02-18,34,107400.0,Salaried,Rent,South,5,24300.0,24,0,0.362,0,0
A02957,CU02167,2021-02-18,46,38400.0,Salaried,Own,North,11,23100.0,60,0,0.877,0,0
A00177,CU00122,2021-02-18,31,60500.0,Salaried,Rent,West,16,31200.0,36,1,0.812,0,0
A01470,CU01070,2021-02-18,44,38800.0,Salaried,Own,East,7,11400.0,12,1,0.441,0,0
A00937,CU00687,2021-02-18,57,56500.0,Salaried,Mortgage,North,0,13200.0,60,0,0.385,0,0
A01837,CU01341,2021-02-18,44,50200.0,Salaried,Rent,West,0,27500.0,36,2,0.857,1,1
A01350,CU00982,2021-02-18,63,33200.0,Salaried,Rent,West,12,14700.0,24,2,0.648,0,0
A02468,CU01799,2021-02-18,29,31700.0,Self-employed,Mortgage,East,20,22100.0,60,2,0.971,0,0
A00622,CU00451,2021-02-18,38,16600.0,Salaried,Rent,North,10,7200.0,36,0,0.588,0,0
A01926,CU01409,2021-02-19,56,33300.0,Salaried,Rent,South,7,15100.0,12,1,0.719,0,0
A01505,CU01096,2021-02-19,49,57400.0,Salaried,Rent,West,5,19000.0,36,3,0.61,1,1
A01363,CU00993,2021-02-20,21,58100.0,Self-employed,Mortgage,North,0,19200.0,60,1,0.609,0,0
A01436,CU01043,2021-02-20,21,29200.0,Unemployed,Own,South,12,14500.0,60,0,0.795,0,0
A00468,CU00344,2021-02-22,42,59400.0,Salaried,Own,South,3,13100.0,24,2,0.507,0,0
A02386,CU01741,2021-02-22,59,25300.0,Self-employed,Own,West,6,7900.0,24,0,0.528,0,0
A02670,CU01952,2021-02-22,44,41700.0,Public sector,Mortgage,West,8,30100.0,24,2,0.822,1,1
A03002,CU02197,2021-02-23,42,72500.0,Salaried,Mortgage,South,6,52500.0,24,3,0.86,0,0
A02138,CU01564,2021-02-23,21,25400.0,Salaried,Mortgage,East,6,8500.0,12,0,0.535,0,0
A02170,CU01589,2021-02-23,31,89000.0,Self-employed,Mortgage,East,7,29600.0,24,3,0.608,0,0
A01418,CU01033,2021-02-24,27,42900.0,Salaried,Rent,East,8,11800.0,12,0,0.418,0,0
A00964,CU00709,2021-02-24,47,62900.0,Salaried,Rent,East,15,44600.0,24,0,0.971,0,0
A02876,CU02107,2021-02-24,41,54300.0,Self-employed,Mortgage,West,6,34700.0,12,0,0.651,0,0
A02647,CU01934,2021-02-24,43,50000.0,Public sector,Own,East,7,32000.0,36,0,0.731,0,0
A00852,CU00613,2021-02-24,49,49100.0,Salaried,Rent,South,9,15300.0,24,0,0.651,0,0
A02619,CU01914,2021-02-24,34,19100.0,Self-employed,Rent,South,3,6300.0,60,1,0.554,0,0
A01403,CU01023,2021-02-24,53,69600.0,Public sector,Rent,West,16,22100.0,24,1,0.466,0,0
A02475,CU01803,2021-02-25,48,68300.0,Salaried,Own,East,6,14000.0,60,0,0.434,0,0
A02451,CU01789,2021-02-26,65,33000.0,Salaried,Own,East,14,29100.0,36,0,1.112,1,1
A01954,CU01429,2021-02-26,35,36100.0,Public sector,Mortgage,South,10,27800.0,24,0,1.206,0,0
A02865,CU02099,2021-02-27,37,25000.0,Salaried,Rent,East,8,7300.0,24,0,0.568,0,0
A01546,CU01127,2021-02-28,65,37700.0,Public sector,Rent,West,0,15400.0,24,0,0.645,0,0
A00518,CU00380,2021-02-28,37,43100.0,Salaried,Mortgage,East,7,34200.0,12,0,1.093,0,0
A02752,CU02018,2021-02-28,68,38500.0,Self-employed,Own,North,9,31300.0,60,1,1.043,0,0
A02230,CU01630,2021-02-28,48,27800.0,Salaried,Own,East,14,22300.0,24,2,0.903,0,0
A01596,CU01161,2021-03-01,45,14800.0,Self-employed,Rent,South,10,11600.0,24,0,1.088,0,0
A00115,CU00081,2021-03-01,21,34900.0,Salaried,Own,East,2,15300.0,24,0,0.699,0,0
A02624,CU01917,2021-03-02,63,96700.0,Salaried,Own,East,10,79100.0,24,0,0.933,0,0
A02732,CU02002,2021-03-02,23,45300.0,Salaried,Mortgage,South,7,20100.0,12,0,0.674,0,0
A02161,CU01582,2021-03-02,36,35700.0,Salaried,Own,North,15,20100.0,36,1,0.733,0,0
A00030,CU00022,2021-03-03,46,53300.0,Unemployed,Mortgage,East,2,46900.0,36,2,1.126,1,1
A02717,CU01990,2021-03-03,22,38600.0,Public sector,Rent,East,12,8700.0,24,0,0.319,1,1
A01960,CU01434,2021-03-04,67,41600.0,Salaried,Mortgage,West,14,20400.0,24,2,0.717,0,0
A01249,CU00910,2021-03-04,32,22700.0,Self-employed,Rent,West,0,17600.0,36,3,0.969,0,0
A00485,CU00356,2021-03-04,28,40200.0,Salaried,Mortgage,North,13,11200.0,60,1,0.479,0,0
A02399,CU01748,2021-03-05,50,25100.0,Salaried,Rent,East,2,14600.0,60,0,0.665,0,0
A00339,CU00247,2021-03-05,35,37700.0,Salaried,Mortgage,North,12,19400.0,24,2,0.733,0,0
A00269,CU00198,2021-03-05,56,26700.0,Salaried,Mortgage,North,1,13000.0,60,1,0.746,0,0
A00001,CU00000,2021-03-06,56,40900.0,Self-employed,Own,East,5,20800.0,12,0,0.695,0,0
A01635,CU01193,2021-03-06,38,44100.0,Self-employed,Rent,West,11,24700.0,36,1,0.742,1,1
A01313,CU00957,2021-03-07,58,34000.0,Public sector,Own,North,8,8900.0,60,1,0.545,0,0
A00905,CU00659,2021-03-08,30,50200.0,Public sector,Own,South,16,10700.0,36,0,0.337,0,0
A02422,CU01766,2021-03-09,45,24700.0,Self-employed,Rent,West,12,10400.0,12,0,0.701,0,0
A02359,CU01726,2021-03-10,48,60900.0,Public sector,Rent,South,14,24300.0,60,0,0.624,0,0
A02808,CU02060,2021-03-10,49,53800.0,Salaried,Rent,South,2,13000.0,36,0,0.46,1,1
A00973,CU00716,2021-03-10,41,79000.0,Salaried,Rent,North,0,39200.0,24,1,0.693,0,0
A01239,CU00905,2021-03-11,38,15800.0,Salaried,Mortgage,North,21,8800.0,24,1,0.784,1,0
A01461,CU01064,2021-03-11,39,27500.0,Public sector,Own,East,8,22900.0,24,0,1.031,0,0
A02393,CU01745,2021-03-11,29,17800.0,Salaried,Rent,South,3,13300.0,12,2,0.881,1,0
A02063,CU01510,2021-03-12,36,22000.0,Salaried,Rent,South,11,18000.0,60,0,1.002,0,0
A02261,CU01656,2021-03-12,46,47000.0,Salaried,Rent,West,4,26800.0,60,1,0.784,0,0
A01087,CU00808,2021-03-12,36,39500.0,Salaried,Rent,West,4,5300.0,36,2,0.266,1,1
A00635,CU00459,2021-03-12,43,30400.0,Self-employed,Own,East,6,16400.0,60,0,0.761,0,0
A01530,CU01116,2021-03-13,55,17000.0,Salaried,Mortgage,South,3,3300.0,24,0,0.514,0,0
A02886,CU02113,2021-03-13,31,41600.0,Self-employed,Rent,East,4,29300.0,60,1,0.854,0,0
A02368,CU01731,2021-03-13,49,34900.0,Public sector,Mortgage,North,4,12700.0,24,0,0.47,0,0
A00796,CU00567,2021-03-13,29,15000.0,Self-employed,Rent,North,6,7600.0,60,0,0.664,0,0
A01686,CU01230,2021-03-14,21,55800.0,Public sector,Rent,West,7,25600.0,12,0,0.495,0,0
A00286,CU00211,2021-03-14,48,63100.0,Salaried,Mortgage,South,7,28000.0,12,0,0.714,0,0
A01306,CU00953,2021-03-14,30,49800.0,Self-employed,Rent,South,6,25300.0,12,0,0.697,0,0
A02731,CU02001,2021-03-14,35,73500.0,Salaried,Rent,West,4,14700.0,60,1,0.334,1,1
A01623,CU01185,2021-03-15,36,21900.0,Self-employed,Rent,North,3,19100.0,12,1,1.048,0,0
A01974,CU01446,2021-03-15,21,81000.0,Public sector,Rent,North,2,52200.0,36,2,0.922,1,0
A02767,CU02028,2021-03-15,42,88500.0,Salaried,Rent,East,8,60400.0,24,1,0.759,0,0
A00054,CU00041,2021-03-15,45,65000.0,Public sector,Mortgage,East,7,35500.0,60,0,0.657,0,0
A01520,CU01107,2021-03-15,52,36700.0,Salaried,Mortgage,South,10,22000.0,60,1,0.85,0,0
A01209,CU00885,2021-03-15,42,30700.0,Public sector,Mortgage,East,15,13400.0,12,1,0.703,0,0
A02308,CU01689,2021-03-16,39,82300.0,Public sector,Own,North,10,49500.0,12,2,0.913,1,1
A02411,CU01757,2021-03-16,55,21000.0,Public sector,Rent,South,10,18700.0,60,0,1.206,0,0
A00186,CU00131,2021-03-18,36,35900.0,Salaried,Mortgage,North,14,4200.0,12,1,0.389,0,0
A00430,CU00317,2021-03-18,52,36300.0,Salaried,Own,West,9,11800.0,24,0,0.504,0,0
A02400,CU01749,2021-03-19,43,58800.0,Self-employed,Rent,East,8,33900.0,24,0,0.927,0,0
A00240,CU00176,2021-03-19,35,67000.0,Public sector,Rent,West,8,19400.0,24,1,0.511,1,1
A01036,CU00767,2021-03-20,41,44700.0,Salaried,Own,East,5,38700.0,24,1,0.985,0,0
A00442,CU00326,2021-03-20,49,41000.0,Salaried,Rent,West,3,8100.0,24,1,0.368,0,0
A01140,CU00839,2021-03-21,27,16300.0,Unemployed,Rent,East,3,6900.0,60,3,0.681,0,0
A02509,CU01828,2021-03-21,47,58100.0,Public sector,Rent,North,5,43100.0,24,2,0.874,0,0
A00450,CU00331,2021-03-21,57,37900.0,Unemployed,Own,North,14,14700.0,12,0,0.537,0,0
A02283,CU01672,2021-03-22,50,38900.0,Unemployed,Mortgage,West,2,29500.0,36,0,1.044,0,0
A00422,CU00311,2021-03-22,38,39500.0,Self-employed,Own,North,14,19800.0,60,1,0.608,0,0
A01257,CU00915,2021-03-22,59,32800.0,Salaried,Own,South,14,13300.0,60,0,0.699,0,0
A02719,CU01991,2021-03-22,57,66700.0,Salaried,Rent,West,8,29600.0,12,0,0.702,0,0
A01622,CU01185,2021-03-23,36,21900.0,Self-employed,Rent,North,3,5700.0,60,0,0.448,0,0
A00672,CU00486,2021-03-24,47,53400.0,Self-employed,Own,East,16,12200.0,24,2,0.211,0,0
A02044,CU01497,2021-03-24,38,50900.0,Salaried,Rent,North,3,17100.0,36,4,0.559,1,1
A00162,CU00112,2021-03-25,58,60800.0,Self-employed,Own,North,6,46200.0,60,1,0.948,1,1
A01260,CU00916,2021-03-26,39,34800.0,Public sector,Mortgage,North,11,28600.0,36,1,1.04,0,0
A00480,CU00352,2021-03-26,32,76000.0,Salaried,Own,South,6,13200.0,36,1,0.366,0,0
A01431,CU01041,2021-03-26,21,13600.0,Salaried,Mortgage,East,7,11400.0,12,5,1.124,1,1
A00502,CU00367,2021-03-26,41,37500.0,Self-employed,Rent,North,6,12600.0,24,0,0.56,0,0
A00788,CU00559,2021-03-27,40,38400.0,Public sector,Mortgage,North,13,16300.0,12,1,0.652,0,0
A01196,CU00877,2021-03-27,32,45000.0,Salaried,Rent,West,12,35700.0,12,1,1.015,0,0
A02279,CU01669,2021-03-28,28,38100.0,Salaried,Own,East,12,26900.0,36,5,0.888,1,1
A02982,CU02184,2021-03-28,52,14500.0,Self-employed,Rent,East,14,10000.0,36,0,0.866,1,1
A02350,CU01720,2021-03-28,52,36100.0,Salaried,Own,North,18,20500.0,24,1,0.694,0,0
A00516,CU00378,2021-03-29,31,62500.0,Salaried,Mortgage,West,4,9200.0,60,2,0.374,0,0
A01437,CU01044,2021-03-29,63,14100.0,Salaried,Own,East,4,2400.0,60,3,0.369,0,0
A01667,CU01213,2021-03-29,38,31300.0,Self-employed,Own,South,3,8800.0,36,1,0.56,0,0
A02514,CU01831,2021-03-30,41,27500.0,Public sector,Mortgage,East,10,20200.0,12,1,0.903,0,0
A00456,CU00334,2021-03-30,37,73200.0,Salaried,Own,East,13,40300.0,60,0,0.681,0,0
A01828,CU01336,2021-03-31,34,14900.0,Self-employed,Mortgage,West,11,4000.0,36,0,0.464,0,0
A00726,CU00523,2021-03-31,21,27500.0,Self-employed,Mortgage,South,10,19100.0,12,0,0.921,0,0
A00221,CU00162,2021-03-31,42,59600.0,Public sector,Mortgage,South,5,24900.0,60,0,0.635,0,0
A00444,CU00327,2021-03-31,41,39200.0,Public sector,Rent,South,5,7700.0,36,1,0.494,0,0
A00789,CU00560,2021-03-31,43,26000.0,Public sector,Mortgage,South,2,7200.0,12,2,0.587,0,0
A01237,CU00903,2021-03-31,43,15600.0,Salaried,Rent,North,11,3100.0,24,1,0.343,0,0
A01228,CU00897,2021-03-31,32,25000.0,Salaried,Mortgage,South,9,18100.0,12,0,0.876,0,0
A01467,CU01068,2021-03-31,42,75200.0,Public sector,Rent,East,3,40900.0,24,0,0.717,0,0
A00533,CU00389,2021-04-01,21,24900.0,Unemployed,Rent,West,10,20200.0,12,1,0.891,0,0
A02009,CU01471,2021-04-01,54,37400.0,Salaried,Own,North,8,11600.0,60,1,0.477,0,0
A01327,CU00967,2021-04-01,58,11500.0,Salaried,Mortgage,North,4,5800.0,12,0,0.734,0,0
A00023,CU00017,2021-04-01,28,24400.0,Salaried,Mortgage,South,10,8200.0,60,2,0.448,1,1
A02077,CU01521,2021-04-01,21,117000.0,Salaried,Rent,North,0,97400.0,12,0,1.066,0,0
A00192,CU00136,2021-04-02,58,85900.0,Public sector,Own,South,0,9400.0,24,0,0.367,0,0
A02361,CU01726,2021-04-02,48,60900.0,Public sector,Rent,South,14,24100.0,12,1,0.536,0,0
A01866,CU01365,2021-04-02,49,56800.0,Salaried,Mortgage,South,13,8100.0,60,0,0.217,0,0
A02869,CU02103,2021-04-03,39,31300.0,Salaried,Mortgage,North,5,11900.0,12,1,0.622,0,0
A01475,CU01073,2021-04-03,45,20200.0,Self-employed,Rent,East,11,12100.0,36,2,0.798,0,0
A02115,CU01549,2021-04-03,29,46400.0,Salaried,Rent,North,3,8700.0,60,0,0.315,1,1
A02313,CU01692,2021-04-04,35,34500.0,Salaried,Rent,East,4,9500.0,36,1,0.478,0,0
A00460,CU00338,2021-04-04,21,40600.0,Salaried,Rent,West,6,9400.0,60,0,0.477,0,0
A01483,CU01078,2021-04-05,38,33600.0,Public sector,Mortgage,West,8,25100.0,24,1,1.022,0,0
