respondent_id,age,gender,region,education,income,work_hours,stress_score,job_satisfaction,q1,q2,q3,q4,q5
R0091,47,Female,East,Bachelor,,50.4,41.2,3,2,3.0,2,5.0,3
R0092,59,Male,East,Bachelor,,43.4,41.4,3,1,3.0,4,,4
R0093,26,Male,Center,Bachelor,,53.4,40.3,4,3,4.0,3,4.0,5
R0094,60,Female,Center,Bachelor,,34.6,35.1,4,5,4.0,3,5.0,5
R0095,43,Female,North,Bachelor,,35.6,39.6,3,3,2.0,3,2.0,4
R0096,69,Male,North,Bachelor,33840.0,55.8,29.4,4,4,5.0,4,4.0,5
R0097,36,Male,East,Secondary,12130.0,34.5,37.6,3,5,2.0,3,,2
R0098,34,Male,South,Secondary,12610.0,50.1,35.8,5,5,5.0,5,5.0,4
R0099,44,Female,North,Master,,39.3,41.3,2,3,1.0,3,2.0,3
R0100,26,Female,West,Bachelor,10560.0,48.7,45.9,4,4,5.0,5,5.0,4
R0101,42,Female,West,Secondary,,44.4,,4,3,4.0,4,4.0,3
R0102,39,Male,East,Master,17630.0,44.9,31.0,3,3,3.0,2,2.0,4
R0103,57,Male,East,Secondary,,42.5,30.0,4,5,3.0,5,4.0,4
R0104,44,Female,North,Bachelor,,42.7,41.0,2,2,2.0,2,1.0,3
R0105,24,Male,East,Secondary,13800.0,30.5,34.5,3,3,2.0,4,4.0,2
R0106,24,Female,South,Bachelor,15720.0,48.9,46.8,2,2,2.0,2,2.0,1
R0107,28,Male,Center,Bachelor,13380.0,37.7,35.7,3,4,4.0,3,2.0,3
R0108,18,Male,North,Master,23660.0,55.9,40.9,2,3,,2,2.0,2
R0109,18,Male,South,Bachelor,18220.0,50.8,41.9,4,5,4.0,5,5.0,4
R0110,67,Male,West,Bachelor,,37.8,30.8,4,4,4.0,5,4.0,5
R0111,30,Female,South,Secondary,18480.0,50.1,47.6,3,3,3.0,3,3.0,3
R0112,56,Female,Center,Secondary,28280.0,41.7,38.7,4,3,5.0,4,5.0,3
R0113,31,Female,South,Master,25520.0,31.0,23.6,4,3,2.0,4,4.0,5
R0114,35,Female,West,Bachelor,34140.0,49.3,41.6,3,3,5.0,3,2.0,1
R0115,18,Male,Center,Bachelor,10300.0,41.3,,4,4,4.0,3,4.0,3
R0116,56,Female,North,Primary,19900.0,35.9,28.5,4,5,5.0,4,3.0,4
R0117,35,Male,East,Secondary,11880.0,45.0,37.0,4,3,4.0,5,4.0,4
R0118,61,Female,North,Bachelor,15120.0,50.9,32.0,5,5,5.0,5,5.0,4
R0119,31,Female,North,Primary,12750.0,39.5,38.6,4,5,3.0,3,4.0,3
R0120,56,Female,North,Secondary,14540.0,43.4,26.1,4,4,4.0,3,5.0,3
R0121,59,Female,West,PhD,48470.0,35.0,26.2,4,5,2.0,5,3.0,4
R0122,21,Male,South,Secondary,15550.0,41.2,37.9,3,3,,5,3.0,2
R0123,46,Female,South,Master,,42.7,39.9,4,2,4.0,4,3.0,5
R0124,27,Male,South,Secondary,11830.0,40.9,,5,5,5.0,5,5.0,5
R0125,25,Female,East,Bachelor,23310.0,50.6,,3,1,3.0,3,3.0,4
R0126,42,Male,South,Master,26770.0,50.1,,3,4,5.0,4,4.0,2
R0127,50,Female,Center,Master,42860.0,53.8,40.2,5,5,5.0,5,5.0,4
R0128,57,Female,East,Secondary,16340.0,35.1,36.3,2,2,3.0,1,1.0,2
R0129,36,Female,North,Primary,31500.0,32.5,37.5,5,5,5.0,5,4.0,3
R0130,53,Female,North,Primary,13130.0,45.0,35.5,4,5,4.0,4,5.0,3
R0131,47,Female,South,Bachelor,10560.0,39.0,34.4,2,3,3.0,3,3.0,1
R0132,40,Female,East,Secondary,18400.0,50.4,39.7,4,4,4.0,3,4.0,4
R0133,28,Male,East,Secondary,27940.0,33.2,32.3,3,3,2.0,2,2.0,3
R0134,41,Male,West,PhD,23610.0,50.3,42.9,4,3,3.0,5,4.0,3
R0135,75,Female,South,Bachelor,18710.0,45.7,38.6,3,1,2.0,3,2.0,1
R0136,28,Female,West,Secondary,7030.0,23.4,21.4,3,4,2.0,3,5.0,3
R0137,38,Male,North,Bachelor,13550.0,44.4,42.6,3,4,3.0,4,2.0,2
R0138,29,Female,North,Secondary,14360.0,50.3,34.3,5,5,5.0,5,4.0,5
R0139,58,Female,Center,Bachelor,24980.0,45.1,47.0,3,2,4.0,3,2.0,4
R0140,63,Male,South,Secondary,24680.0,44.1,35.1,4,3,5.0,5,2.0,4
R0141,57,Male,North,Bachelor,40450.0,46.1,,3,4,3.0,2,2.0,4
R0142,65,Male,North,Primary,13340.0,39.3,26.9,4,4,5.0,4,5.0,3
R0143,39,Female,North,Secondary,22760.0,43.3,32.9,4,3,4.0,4,4.0,5
R0144,61,Female,East,Master,29430.0,39.9,30.4,5,5,5.0,5,5.0,4
R0145,29,Female,East,Secondary,,46.8,,3,4,2.0,3,3.0,4
R0146,60,Female,South,Master,,46.7,37.1,4,5,3.0,4,3.0,5
R0147,59,Female,North,Secondary,24170.0,37.9,43.2,3,3,2.0,2,,2
R0148,32,Female,North,Bachelor,21890.0,38.7,36.8,3,4,3.0,2,3.0,4
R0149,52,Male,Center,Bachelor,18500.0,42.9,32.5,4,4,5.0,3,3.0,4
R0150,26,Female,South,Master,15630.0,46.0,32.4,3,2,3.0,3,2.0,4
R0151,22,Female,East,Bachelor,17390.0,35.2,30.8,4,4,5.0,4,5.0,4
R0152,22,Male,West,Bachelor,12260.0,39.8,38.0,3,3,5.0,3,3.0,3
R0153,26,Female,South,Master,37210.0,64.8,,4,3,4.0,3,3.0,4
R0154,25,Prefer not to say,South,Bachelor,11130.0,48.1,43.5,3,4,3.0,3,,3
R0155,38,Male,East,Master,,42.3,39.6,4,3,5.0,5,,4
R0156,62,Male,West,Bachelor,,39.3,25.0,5,5,5.0,4,5.0,4
R0157,37,Male,Center,Secondary,14170.0,35.2,33.3,3,3,3.0,2,4.0,4
R0158,29,Male,South,Bachelor,,41.6,34.1,4,3,5.0,4,5.0,4
R0159,49,Prefer not to say,East,Secondary,20450.0,42.7,37.3,3,2,,3,2.0,2
R0160,37,Female,East,Bachelor,28020.0,47.6,52.0,3,2,1.0,1,3.0,3
R0161,41,Female,West,Bachelor,22380.0,55.2,,5,5,5.0,5,5.0,4
R0162,45,Female,West,Secondary,20810.0,46.9,47.3,3,3,4.0,2,2.0,4
R0163,45,Male,South,Secondary,,27.3,25.8,5,5,5.0,4,5.0,3
R0164,31,Female,West,Secondary,,30.9,29.6,4,4,4.0,4,2.0,3
R0165,37,Female,South,Primary,,26.5,,3,2,3.0,4,5.0,4
R0166,52,Male,North,Secondary,8770.0,37.8,19.4,5,5,5.0,5,5.0,5
R0167,35,Female,South,Bachelor,32670.0,45.4,51.9,2,2,4.0,1,1.0,1
R0168,37,Female,West,Secondary,26130.0,42.5,38.1,3,4,2.0,3,2.0,3
R0169,44,Male,East,Bachelor,,28.9,18.0,5,5,5.0,5,5.0,5
R0170,45,Female,East,Master,16310.0,47.2,38.3,4,4,3.0,5,4.0,4
R0171,36,Male,North,Bachelor,,28.5,24.8,4,2,,4,4.0,5
R0172,47,Female,West,Secondary,,42.3,23.0,4,3,3.0,5,5.0,4
R0173,40,Male,East,Secondary,,46.3,40.6,3,3,5.0,1,1.0,2
R0174,23,Female,South,Secondary,23600.0,43.6,34.9,4,4,5.0,5,3.0,3
R0175,48,Female,West,Bachelor,18800.0,50.3,30.4,3,2,2.0,2,3.0,3
R0176,28,Female,South,Secondary,,36.5,46.2,4,4,3.0,4,4.0,5
R0177,75,Male,West,Primary,22010.0,36.0,24.5,3,4,2.0,2,3.0,2
R0178,44,Male,North,Master,25180.0,42.0,35.7,5,4,5.0,5,5.0,5
R0179,36,Female,Center,Bachelor,16040.0,42.9,44.2,4,2,4.0,5,3.0,5
R0180,51,Male,South,Secondary,20320.0,30.7,27.1,5,5,5.0,5,5.0,5
R0181,59,Female,West,Bachelor,16650.0,47.9,32.9,5,5,5.0,5,4.0,5
R0182,59,Female,South,PhD,,58.4,36.1,4,3,3.0,3,4.0,3
R0183,44,Female,South,Primary,21130.0,40.7,42.2,5,5,5.0,5,4.0,4
R0184,54,Male,South,Secondary,12250.0,35.7,31.9,3,2,3.0,3,2.0,4
R0185,49,Prefer not to say,North,Bachelor,,42.1,39.0,5,5,5.0,5,5.0,5
R0186,41,Female,North,Secondary,12370.0,33.8,23.3,5,4,5.0,3,5.0,4
R0187,20,Female,South,Secondary,7810.0,41.7,35.7,4,4,5.0,4,4.0,2
R0188,40,Male,North,Primary,,30.6,37.1,3,4,3.0,4,,2
R0189,18,Male,North,Bachelor,15620.0,42.1,,2,3,2.0,2,2.0,3
R0190,28,Male,West,Secondary,10720.0,39.7,,3,4,4.0,4,3.0,2
R0191,58,Male,East,Bachelor,29570.0,26.0,22.9,5,5,4.0,5,3.0,5
R0192,42,Female,South,Master,20560.0,57.4,40.5,2,1,1.0,2,3.0,1
R0193,39,Male,North,Primary,14780.0,52.1,46.3,2,2,2.0,2,2.0,2
R0194,29,Female,West,Bachelor,15370.0,41.8,29.7,3,4,3.0,4,2.0,2
R0195,29,Female,West,Secondary,17190.0,51.6,,4,5,3.0,3,3.0,3
R0196,31,Female,North,Master,32150.0,48.2,39.3,4,5,5.0,2,3.0,4
R0197,22,Male,North,Bachelor,10980.0,48.3,,5,5,5.0,5,5.0,5
R0198,18,Female,West,Master,20300.0,50.8,,3,2,3.0,3,3.0,3
R0199,53,Male,North,Secondary,17390.0,30.6,,5,3,5.0,5,5.0,5
R0200,61,Male,North,Primary,14620.0,43.4,42.3,3,3,4.0,3,,3
R0201,32,Male,North,Secondary,14960.0,42.0,36.3,3,2,5.0,4,4.0,2
R0202,50,Male,South,Secondary,,49.2,29.9,4,3,3.0,4,4.0,3
R0203,24,Male,West,Bachelor,,-99.0,52.2,5,4,5.0,5,5.0,5
R0204,44,Female,West,Master,23840.0,42.1,31.5,5,5,5.0,5,5.0,4
R0205,22,Male,East,Secondary,13090.0,28.8,,4,3,4.0,3,4.0,4
R0206,52,Male,North,Master,,43.1,31.5,4,5,3.0,3,4.0,3
R0207,41,Female,Center,Bachelor,26080.0,30.6,36.8,4,5,3.0,3,5.0,4
R0208,23,Prefer not to say,North,Bachelor,14210.0,49.3,,3,2,1.0,3,4.0,3
R0209,47,Male,Center,Master,23460.0,-99.0,32.7,4,4,4.0,5,5.0,4
R0210,61,Female,West,Bachelor,,52.9,38.5,4,5,,3,5.0,4
R0211,40,Male,North,Bachelor,18720.0,41.0,43.2,4,4,5.0,4,2.0,3
R0212,39,Female,West,Master,19820.0,58.8,38.0,4,4,5.0,4,,4
R0213,40,Female,North,Master,23360.0,30.9,44.7,3,2,3.0,2,4.0,1
R0214,41,Male,South,Master,18720.0,48.5,41.9,4,5,5.0,5,4.0,4
R0215,56,Female,East,Secondary,33820.0,37.0,,5,5,4.0,5,5.0,5
R0216,57,Male,West,Bachelor,,42.4,24.6,4,4,4.0,2,4.0,5
R0217,18,Male,South,Bachelor,12540.0,56.5,50.7,3,4,2.0,3,3.0,3
R0218,56,Male,West,Master,,41.0,26.2,4,5,4.0,5,3.0,4
R0219,37,Male,South,Secondary,14810.0,42.6,40.0,3,2,4.0,1,2.0,2
R0220,61,Female,Center,Bachelor,17230.0,44.0,29.0,4,5,5.0,3,5.0,3
R0221,46,Male,North,Master,25000.0,53.3,38.6,3,1,2.0,3,3.0,4
R0222,52,Male,North,Secondary,25290.0,38.1,27.7,4,3,2.0,3,4.0,5
R0223,33,Female,North,Primary,20920.0,35.8,35.4,3,2,4.0,3,5.0,3
R0224,22,Female,West,Secondary,,32.8,42.8,4,5,,3,4.0,3
R0225,43,Prefer not to say,Center,Master,24710.0,49.4,46.3,2,2,3.0,2,2.0,1
R0226,52,Male,South,Primary,21510.0,44.1,44.5,3,3,4.0,4,3.0,2
R0227,49,Female,West,PhD,,29.7,26.4,4,4,4.0,5,3.0,5
R0228,50,Female,West,Secondary,10820.0,37.6,23.1,4,3,5.0,4,5.0,3
R0229,43,Male,Center,Secondary,26750.0,44.5,31.0,3,2,2.0,3,4.0,2
R0230,49,Female,North,Master,18490.0,43.3,36.8,4,5,5.0,4,,4
R0231,29,Female,West,Bachelor,26880.0,42.4,,4,4,4.0,5,4.0,4
R0232,38,Male,North,Bachelor,,37.8,38.1,2,2,3.0,2,,2
R0233,20,Male,East,Bachelor,17480.0,50.6,,2,2,1.0,3,3.0,1
R0234,39,Male,West,Master,19180.0,67.3,58.0,3,4,2.0,2,1.0,3
R0235,36,Female,West,Bachelor,17960.0,38.8,35.8,4,4,4.0,4,3.0,4
R0236,40,Female,North,Master,37300.0,41.1,37.4,4,4,4.0,5,4.0,3
R0237,53,Male,East,Bachelor,17920.0,42.0,28.4,3,5,,3,5.0,1
R0238,41,Female,North,Secondary,9770.0,49.2,33.2,4,3,5.0,4,5.0,4
R0239,18,Male,North,Secondary,16510.0,52.1,46.8,3,3,2.0,4,3.0,3
R0240,58,Female,South,Master,29840.0,48.2,33.2,3,2,3.0,4,3.0,3
R0241,42,Male,North,Bachelor,17060.0,45.2,31.8,5,5,,5,5.0,5
R0242,50,Male,Center,Master,,53.7,41.6,2,2,1.0,3,3.0,2
R0243,29,Male,West,PhD,,43.0,23.3,5,3,5.0,5,,5
R0244,51,Female,South,Primary,16690.0,44.8,35.4,3,3,3.0,2,5.0,3
R0245,60,Male,Center,Secondary,19950.0,35.1,35.0,3,4,,4,2.0,1
R0246,19,Male,East,Secondary,10930.0,40.6,33.4,3,3,3.0,4,3.0,2
R0247,56,Female,North,Bachelor,,52.6,31.8,3,3,3.0,4,,3
R0248,28,Female,South,PhD,12260.0,43.0,43.4,2,1,2.0,1,1.0,1
R0249,30,Male,South,Secondary,9480.0,38.8,36.4,4,2,3.0,3,4.0,3
R0250,40,Female,West,Secondary,13440.0,33.0,35.9,3,4,2.0,4,3.0,3
R0251,67,Female,Center,Secondary,25900.0,29.7,20.5,5,3,5.0,5,,5
R0252,18,Female,East,Bachelor,8000.0,49.5,47.8,3,3,3.0,3,4.0,2
R0253,31,Male,East,Master,20050.0,40.7,30.3,3,4,3.0,2,3.0,3
R0254,40,Male,North,Primary,19080.0,43.7,37.1,3,4,4.0,2,,3
R0255,48,Prefer not to say,North,Primary,15570.0,37.7,35.7,4,5,3.0,4,4.0,3
R0256,38,Male,South,Master,,41.4,37.6,4,4,4.0,3,4.0,2
R0257,45,Female,North,Master,,54.6,60.0,3,3,2.0,2,4.0,2
R0258,26,Female,South,Bachelor,25340.0,37.7,36.2,5,5,5.0,5,2.0,5
R0259,50,Male,South,Master,,49.7,40.4,3,4,2.0,3,3.0,1
R0260,54,Female,East,Secondary,19280.0,32.0,35.2,4,4,5.0,3,5.0,4
R0261,25,Male,North,Master,17840.0,44.8,,4,4,4.0,3,5.0,3
R0262,29,Female,South,Secondary,10020.0,42.9,42.9,3,3,,2,3.0,4
R0263,45,Female,North,Bachelor,18670.0,52.0,37.7,4,4,5.0,4,4.0,4
R0264,44,Female,North,Bachelor,19580.0,43.4,35.8,3,2,3.0,3,3.0,5
R0265,47,Male,West,Primary,15570.0,40.6,35.7,3,3,5.0,5,4.0,3
R0266,24,Male,South,Secondary,21840.0,51.5,34.8,3,3,3.0,3,4.0,1
R0267,35,Female,North,Secondary,17720.0,39.0,38.3,4,3,,4,5.0,4
R0268,33,Male,South,Bachelor,20010.0,51.7,41.3,5,5,5.0,5,5.0,5
R0269,58,Male,Center,Bachelor,17510.0,54.6,40.3,3,2,2.0,1,4.0,4
R0270,39,Male,North,Bachelor,15030.0,48.6,46.3,4,4,3.0,5,3.0,2
R0271,33,Male,South,Primary,12980.0,42.4,33.8,4,3,3.0,5,4.0,5
R0272,28,Male,South,Bachelor,21580.0,45.3,41.2,4,5,4.0,3,4.0,5
R0273,40,Female,North,Master,29030.0,52.1,47.1,3,3,3.0,3,1.0,2
R0274,55,Prefer not to say,West,Bachelor,21640.0,38.8,30.7,4,4,4.0,3,4.0,4
R0275,19,Male,South,Bachelor,15090.0,38.5,44.0,3,4,3.0,4,4.0,2
R0276,41,Male,South,PhD,14410.0,40.1,28.5,4,4,4.0,4,3.0,3
R0277,46,Male,West,Master,,41.0,40.9,3,3,,3,1.0,1
R0278,66,Male,West,Bachelor,25930.0,40.9,30.2,3,1,4.0,5,4.0,2
R0279,49,Prefer not to say,North,Secondary,12510.0,54.3,42.7,4,3,4.0,5,3.0,5
R0280,58,Male,West,Bachelor,16650.0,47.7,28.7,5,5,4.0,5,5.0,5
R0281,40,Female,Center,Bachelor,20760.0,47.3,38.9,4,4,3.0,5,4.0,4
R0282,22,Female,South,Bachelor,14090.0,39.6,,3,3,3.0,2,3.0,5
R0283,21,Male,North,Secondary,14970.0,49.1,34.9,2,3,,2,3.0,3
R0284,30,Male,North,Secondary,9490.0,45.8,18.7,3,5,3.0,3,4.0,3
R0285,42,Female,North,PhD,29010.0,49.0,32.4,4,5,5.0,4,3.0,3
R0286,36,Male,Center,Secondary,25830.0,38.9,24.7,4,3,3.0,5,4.0,5
R0287,34,Male,East,Bachelor,15830.0,36.9,23.8,5,5,4.0,4,5.0,5
R0288,64,Female,North,Secondary,15630.0,43.8,23.3,3,3,3.0,4,3.0,3
R0289,18,Female,North,Master,13830.0,45.7,35.1,3,3,4.0,4,2.0,3
R0290,26,Female,West,Primary,9510.0,33.6,,5,5,3.0,4,5.0,4
R0291,71,Male,Center,Master,,46.2,,4,3,3.0,4,4.0,4
R0292,44,Female,West,Master,38930.0,44.9,31.6,2,2,3.0,2,1.0,2
R0293,31,Female,North,Bachelor,27270.0,50.5,,3,3,2.0,4,3.0,2
R0294,25,Male,East,Bachelor,10390.0,38.0,,4,4,5.0,4,,3
R0295,50,Male,Center,Master,25380.0,-99.0,32.0,4,4,4.0,4,4.0,4
R0296,49,Female,Center,Master,17920.0,41.3,,4,5,5.0,3,4.0,4
R0297,50,Male,West,Primary,14790.0,43.2,36.3,4,3,3.0,4,3.0,4
R0298,23,Female,East,Primary,9190.0,43.4,44.3,4,4,5.0,4,3.0,5
R0299,42,Female,North,Primary,18080.0,31.0,29.1,5,5,5.0,5,4.0,5
R0300,37,Female,Center,Secondary,15950.0,40.8,36.3,3,3,2.0,2,,4
R0301,46,Male,Center,Secondary,,39.5,28.0,4,4,3.0,4,5.0,3
R0302,19,Male,East,Secondary,,44.3,,4,3,4.0,4,3.0,5
R0303,48,Male,South,Master,,38.8,30.4,3,3,4.0,3,4.0,2
R0304,60,Female,South,Bachelor,26450.0,46.9,38.6,3,3,4.0,3,3.0,5
R0305,22,Male,South,Bachelor,12870.0,46.8,,5,4,5.0,3,4.0,5
R0306,51,Male,West,Secondary,,36.3,27.5,3,3,2.0,5,5.0,4
R0307,62,Male,South,Bachelor,24280.0,56.0,38.9,3,3,2.0,3,4.0,3
R0308,51,Female,North,Bachelor,11820.0,38.3,33.4,4,4,4.0,5,4.0,4
R0309,39,Male,South,Bachelor,24030.0,43.5,29.9,4,3,3.0,3,,5
R0310,42,Female,East,Bachelor,31840.0,49.0,34.6,4,4,4.0,3,4.0,3
R0311,33,Male,West,Secondary,12250.0,45.3,51.1,3,3,2.0,4,3.0,4
R0312,43,Female,South,Bachelor,19760.0,35.9,37.2,3,5,4.0,3,4.0,3
R0313,26,Female,East,Master,27250.0,46.8,31.5,4,2,5.0,4,5.0,3
R0314,41,Male,East,Bachelor,21360.0,35.9,33.3,2,2,3.0,1,4.0,2
R0315,29,Female,North,Bachelor,18790.0,42.5,,2,3,1.0,2,2.0,3
R0316,21,Female,East,Secondary,8230.0,31.9,23.2,3,3,1.0,2,,4
R0317,60,Female,South,Secondary,14270.0,55.2,35.7,3,3,3.0,4,2.0,3
R0318,18,Male,West,Master,12350.0,57.6,38.8,2,1,,1,2.0,1
R0319,63,Male,West,Secondary,29820.0,44.6,39.2,3,4,4.0,2,3.0,1
