firm_id,year,sector,revenue,employees,rnd_spend,profit
F12,2021,Manufacturing,35184.5,63.8,130.64,1323.8
F12,2022,Manufacturing,36714.4,58.4,119.35,4717.3
F12,2023,Manufacturing,36758.2,63.7,130.34,2641.6
F13,2010,Services,18248.4,22.0,47.12,1118.9
F13,2011,Services,10241.5,20.0,36.61,621.4
F13,2012,Services,13938.6,21.0,42.51,1296.2
F13,2013,Services,14193.7,21.4,41.69,601.8
F13,2014,Services,15460.2,22.5,44.23,828.1
F13,2015,Services,14448.4,22.7,36.6,1468.6
F13,2016,Services,14743.4,21.3,48.81,2010.2
F13,2017,Services,17175.4,23.9,,1278.1
F13,2018,Services,20817.6,27.1,55.48,1386.4
F13,2019,Services,19040.5,29.7,55.16,2658.0
F13,2020,Services,10416.2,23.5,53.51,1410.5
F13,2021,Services,15998.6,25.1,,2343.3
F13,2022,Services,18555.6,27.8,54.34,2137.3
F13,2023,Services,21280.6,27.7,53.46,3117.7
F14,2010,Technology,28794.3,26.5,145.98,1885.3
F14,2011,Technology,22678.5,19.4,110.87,537.7
F14,2012,Technology,24402.4,20.2,117.51,501.7
F14,2013,Technology,36489.4,25.9,156.07,3281.3
F14,2014,Technology,31608.2,24.3,144.65,4603.8
F14,2015,Technology,33100.7,24.7,146.69,1364.9
F14,2016,Technology,36873.6,27.0,161.16,4130.3
F14,2017,Technology,35890.4,27.4,160.88,2641.0
F14,2018,Technology,34433.9,28.5,173.28,2068.4
F14,2019,Technology,43184.9,32.8,194.47,3576.7
F14,2020,Technology,30020.0,28.4,161.96,3159.3
F14,2021,Technology,45452.1,32.5,193.41,1713.1
F14,2022,Technology,58569.5,34.3,206.4,1444.0
F14,2023,Technology,44179.1,33.3,204.45,1859.3
F15,2010,Agriculture,15378.7,22.5,44.02,2013.5
F15,2011,Agriculture,13727.7,21.8,33.25,1480.9
F15,2012,Agriculture,18164.1,24.6,45.35,2334.9
F15,2013,Agriculture,15605.3,25.0,50.38,1160.9
F15,2014,Agriculture,19154.7,28.3,60.24,2750.4
F15,2015,Agriculture,16312.1,24.1,48.13,1571.4
F15,2016,Agriculture,17626.3,25.8,51.4,1235.9
F15,2017,Agriculture,20560.9,29.6,61.23,2554.9
F15,2018,Agriculture,16936.3,27.2,50.98,1997.9
F15,2019,Agriculture,18202.7,30.6,59.03,1482.0
F15,2020,Agriculture,16100.2,29.8,58.14,1667.6
F15,2021,Agriculture,20651.4,32.0,56.29,1203.0
F15,2022,Agriculture,24477.1,33.3,,2282.7
F15,2023,Agriculture,19777.1,31.3,71.61,2739.4
F16,2010,Manufacturing,106542.1,118.0,230.16,3408.5
F16,2011,Manufacturing,96474.7,94.7,190.94,14259.1
F16,2012,Manufacturing,112121.0,107.8,213.04,2548.0
F16,2013,Manufacturing,103319.4,115.0,232.53,6971.4
F16,2014,Manufacturing,120488.3,113.4,227.93,15695.4
F16,2015,Manufacturing,148124.0,125.1,246.98,7960.9
F16,2016,Manufacturing,128257.0,110.5,225.47,18169.2
F16,2017,Manufacturing,111052.4,116.7,225.75,5232.4
F16,2018,Manufacturing,128225.7,120.2,241.73,4369.7
F16,2019,Manufacturing,93344.4,110.7,218.97,7234.8
F16,2020,Manufacturing,143574.5,141.5,283.51,5808.7
F16,2021,Manufacturing,145710.0,133.0,,19948.9
F16,2022,Manufacturing,239095.7,153.5,298.27,14314.0
F16,2023,Manufacturing,193326.5,145.4,292.08,25583.7
F17,2010,Services,103803.5,68.2,,14698.2
F17,2011,Services,101781.5,65.3,129.85,12866.6
F17,2012,Services,170598.0,80.3,156.54,11894.3
F17,2013,Services,119472.9,81.1,163.9,5114.7
F17,2014,Services,170353.3,88.7,170.77,6542.3
F17,2015,Services,156862.6,88.9,169.13,18941.6
F17,2016,Services,174990.1,84.9,177.14,18792.6
F17,2017,Services,175118.0,95.1,188.63,23025.8
F17,2018,Services,210932.2,99.4,199.92,12430.9
F17,2019,Services,165400.6,89.0,174.51,14981.0
F17,2020,Services,171480.5,92.8,,8611.6
F17,2021,Services,214811.7,102.4,206.06,13614.6
F17,2022,Services,248645.1,99.6,204.85,6824.0
F17,2023,Services,269850.0,111.9,226.9,26697.9
F18,2010,Technology,91358.5,56.6,345.05,9935.1
F18,2011,Technology,124541.4,62.3,372.22,5231.0
F18,2012,Technology,149171.6,67.4,411.71,15628.4
F18,2013,Technology,146476.0,65.5,403.79,6835.3
F18,2014,Technology,112607.8,60.8,369.19,3731.0
F18,2015,Technology,183283.0,73.6,446.18,17713.4
F18,2016,Technology,146655.8,64.6,389.38,10471.0
F18,2017,Technology,150098.0,71.4,,4437.6
F18,2018,Technology,144021.8,66.4,396.59,11395.7
F18,2019,Technology,212389.3,82.8,497.77,21593.0
F18,2020,Technology,181686.7,75.9,457.68,13226.1
F18,2021,Technology,194031.5,77.4,461.37,26278.2
F18,2022,Technology,317503.3,90.7,550.37,6677.2
F18,2023,Technology,143875.3,71.2,428.87,10441.9
F19,2010,Agriculture,25599.2,39.5,82.07,594.8
F19,2011,Agriculture,24023.9,34.6,,3235.0
F19,2012,Agriculture,29452.7,40.1,79.94,2600.0
F19,2013,Agriculture,25883.7,35.8,73.47,2062.1
F19,2014,Agriculture,30511.1,43.9,79.08,4292.5
F19,2015,Agriculture,31397.3,44.7,87.25,4668.3
F19,2016,Agriculture,29215.5,46.5,95.43,898.6
F19,2017,Agriculture,34521.1,48.5,96.35,2732.0
F19,2018,Agriculture,37439.2,47.2,91.36,3530.0
F19,2019,Agriculture,39523.5,51.3,102.89,1484.6
F19,2020,Agriculture,34501.2,54.3,106.94,2614.4
F19,2021,Agriculture,41185.1,58.1,115.0,5320.7
F19,2022,Agriculture,42466.7,58.1,118.68,2758.6
F19,2023,Agriculture,33385.8,53.7,105.23,3518.2
F20,2010,Manufacturing,147167.3,85.6,169.55,5348.5
F20,2011,Manufacturing,209701.9,91.7,184.88,6020.4
F20,2012,Manufacturing,209642.8,102.8,206.54,21874.5
F20,2013,Manufacturing,199014.0,108.7,211.86,21815.7
F20,2014,Manufacturing,251356.3,117.6,228.73,18697.7
F20,2015,Manufacturing,158606.2,95.3,183.98,4999.5
F20,2016,Manufacturing,238606.1,113.5,233.23,23112.8
F20,2017,Manufacturing,213100.3,109.7,210.31,26346.1
F20,2018,Manufacturing,204752.6,113.2,223.29,26893.2
F20,2019,Manufacturing,301736.4,125.1,247.09,19099.3
F20,2020,Manufacturing,221797.2,118.4,234.46,6182.2
F20,2021,Manufacturing,234388.4,115.5,230.29,21017.5
F20,2022,Manufacturing,545101.2,154.4,315.32,34874.8
F20,2023,Manufacturing,457932.5,149.2,,42364.7
F21,2010,Services,20697.7,30.0,59.96,2733.3
F21,2011,Services,26090.3,37.4,92.85,3509.2
F21,2012,Services,32968.2,37.0,72.02,2729.9
F21,2013,Services,31519.0,36.6,80.0,2736.4
F21,2014,Services,37317.1,41.8,76.76,3058.0
F21,2015,Services,33137.5,43.3,89.41,3734.3
F21,2016,Services,29750.6,38.9,77.79,3970.6
F21,2017,Services,36987.4,41.5,79.84,4079.7
F21,2018,Services,35932.0,48.7,93.47,982.8
F21,2019,Services,33855.7,46.4,92.5,1024.3
F21,2020,Services,31401.0,49.2,102.52,2987.7
F21,2021,Services,38355.6,43.1,88.91,2793.0
F21,2022,Services,46568.5,49.6,,1280.3
F21,2023,Services,35943.5,42.0,86.44,3758.0
F22,2010,Technology,48869.1,31.8,195.89,5451.9
F22,2011,Technology,52496.9,32.5,202.19,2929.2
F22,2012,Technology,51740.3,35.2,205.78,7294.6
F22,2013,Technology,78057.8,39.2,228.08,11599.7
F22,2014,Technology,65487.0,32.2,195.31,9481.5
F22,2015,Technology,72482.4,35.3,215.66,10834.5
F22,2016,Technology,56026.6,35.1,205.06,7935.8
F22,2017,Technology,60006.1,35.4,210.93,5364.9
F22,2018,Technology,83387.5,42.2,247.36,11457.8
F22,2019,Technology,87710.2,42.2,251.09,2419.1
F22,2020,Technology,75923.7,43.4,258.36,2718.1
F22,2021,Technology,110479.0,49.3,302.0,12326.2
F22,2022,Technology,84054.4,45.0,263.24,1711.8
F22,2023,Technology,97892.0,47.6,278.38,10867.4
F23,2015,Agriculture,116755.6,80.4,164.28,13920.2
F23,2016,Agriculture,95014.9,74.3,154.66,11767.1
F23,2017,Agriculture,135626.9,88.1,169.76,16354.3
F23,2018,Agriculture,124919.2,90.5,179.74,6602.1
F23,2019,Agriculture,135107.4,87.7,,9832.9
F23,2020,Agriculture,124156.1,93.0,185.93,2725.0
F23,2021,Agriculture,155018.1,100.6,,19126.4
F23,2022,Agriculture,132635.1,93.7,203.23,18928.1
F23,2023,Agriculture,217363.7,118.0,239.19,12733.6
F24,2010,Manufacturing,88742.6,38.3,77.18,8729.2
F24,2011,Manufacturing,77806.2,36.2,73.6,8749.9
F24,2012,Manufacturing,67448.5,35.3,69.08,1791.4
F24,2013,Manufacturing,92901.9,45.3,92.86,2841.1
F24,2014,Manufacturing,113552.9,50.1,108.36,6320.2
F24,2015,Manufacturing,103231.3,42.8,87.66,7178.0
F24,2016,Manufacturing,99278.5,44.2,96.49,9962.7
F24,2017,Manufacturing,104924.8,44.3,92.1,7897.0
F24,2018,Manufacturing,97974.7,41.6,81.83,3707.1
F24,2019,Manufacturing,135528.4,52.0,,13930.4
F24,2020,Manufacturing,90988.3,44.4,88.66,9369.7
F24,2021,Manufacturing,90958.0,45.9,87.67,9375.9
F24,2022,Manufacturing,151902.6,59.8,117.17,7696.3
F24,2023,Manufacturing,98565.1,47.2,93.84,3236.6
F25,2010,Services,210461.3,91.9,180.35,12103.7
F25,2011,Services,172479.1,91.7,185.39,4785.0
F25,2012,Services,191247.8,102.2,,4385.0
F25,2013,Services,187236.1,98.8,196.19,11755.8
F25,2014,Services,281854.8,123.9,249.57,23337.4
F25,2015,Services,195714.6,95.8,204.46,7604.6
F25,2016,Services,424937.2,147.3,,34550.7
F26,2010,Technology,126921.4,40.1,238.83,13647.5
F26,2011,Technology,116256.4,35.8,218.22,3621.5
F26,2012,Technology,150790.5,42.2,253.72,20553.7
F26,2013,Technology,123100.7,35.7,219.51,11211.6
F26,2014,Technology,93397.2,35.3,204.76,7140.4
F26,2015,Technology,125439.6,37.5,222.31,14313.5
F26,2016,Technology,133287.2,46.7,279.65,6784.7
F26,2017,Technology,156423.2,44.7,273.07,20254.5
F26,2018,Technology,194856.8,48.5,294.95,29162.0
F26,2019,Technology,181418.7,47.2,283.5,12076.9
F26,2020,Technology,135006.1,48.1,294.24,10854.5
F26,2021,Technology,162938.4,45.6,270.62,4030.2
F26,2022,Technology,272429.7,51.0,308.7,9042.4
F26,2023,Technology,216830.3,48.8,288.91,17068.1
F27,2010,Agriculture,14943.0,23.4,42.87,1695.4
F27,2011,Agriculture,14062.5,21.3,41.67,1764.1
F27,2012,Agriculture,16674.0,25.5,49.62,1513.5
F27,2013,Agriculture,16757.3,28.0,58.92,1808.9
F27,2014,Agriculture,18194.5,26.7,52.05,368.4
F27,2015,Agriculture,18763.2,28.8,51.1,1819.1
F27,2016,Agriculture,19433.3,27.9,,1020.7
F27,2017,Agriculture,16694.0,29.1,58.77,2043.1
F27,2018,Agriculture,19014.9,31.6,62.31,673.5
F27,2019,Agriculture,22451.6,35.4,67.52,1807.0
F28,2010,Manufacturing,35890.2,25.3,51.43,3343.5
F28,2011,Manufacturing,41655.5,27.3,58.12,1506.1
F28,2012,Manufacturing,37996.1,26.7,49.08,4445.7
F28,2013,Manufacturing,39063.5,27.5,52.6,4059.3
F28,2014,Manufacturing,46492.9,26.1,53.6,5018.4
F28,2015,Manufacturing,44356.6,28.5,56.53,4833.9
F28,2016,Manufacturing,53104.9,30.2,57.25,1895.4
F28,2017,Manufacturing,36875.8,29.8,57.02,4122.9
F28,2018,Manufacturing,49694.0,30.9,,4067.2
F28,2019,Manufacturing,57775.7,32.3,70.29,8113.9
F29,2010,Services,67540.8,41.6,93.06,7073.1
F29,2011,Services,52818.4,37.3,70.54,6994.2
F29,2012,Services,68995.2,41.2,86.65,4207.0
F29,2013,Services,52250.6,39.2,75.64,3332.6
F29,2014,Services,73928.4,46.7,86.39,4732.6
F29,2015,Services,86827.6,44.9,90.47,12338.9
F29,2016,Services,76041.9,44.3,95.83,7998.5
F29,2017,Services,58993.1,43.7,,2918.3
F29,2018,Services,92523.2,50.3,97.76,3005.0
F29,2019,Services,105782.9,55.8,116.37,3751.4
F29,2020,Services,79489.6,49.1,93.14,4440.0
F29,2021,Services,115141.5,57.0,118.96,9546.5
F29,2022,Services,98870.4,54.2,107.51,12949.6
F29,2023,Services,111761.5,55.5,117.11,8892.4
F30,2010,Technology,164090.0,64.5,385.43,23851.1
F30,2011,Technology,174083.1,61.8,374.96,23923.2
F30,2012,Technology,232639.6,73.6,439.76,24162.5
F30,2013,Technology,205107.9,69.9,417.29,26652.5
F30,2014,Technology,273131.2,75.4,460.48,20403.8
F30,2015,Technology,224929.6,69.9,425.92,27053.8
F30,2016,Technology,227422.4,71.3,427.95,30406.3
F30,2017,Technology,229899.8,69.7,412.95,9612.1
F30,2018,Technology,365780.5,83.1,501.25,42844.3
F30,2019,Technology,535110.8,98.0,582.96,27117.4
F30,2020,Technology,427674.0,95.6,574.31,30607.3
F30,2021,Technology,274537.7,75.4,455.33,33119.1
F30,2022,Technology,338172.6,79.5,485.79,19961.7
F30,2023,Technology,428181.7,90.1,530.75,52213.9
F31,2010,Agriculture,44384.0,34.6,83.49,2598.2
F31,2011,Agriculture,40698.0,35.7,68.41,5307.7
F31,2012,Agriculture,42009.9,34.7,66.86,3924.1
F31,2013,Agriculture,45402.5,33.0,73.32,5855.9
F31,2014,Agriculture,48691.7,39.4,87.5,2147.8
F31,2015,Agriculture,47656.9,37.7,77.41,5701.7
F31,2016,Agriculture,59858.4,43.1,80.44,5081.4
F31,2017,Agriculture,50622.8,34.3,68.63,3583.2
F31,2018,Agriculture,57721.4,45.8,84.3,2017.9
F31,2019,Agriculture,60192.0,47.0,90.45,7224.9
F31,2020,Agriculture,46084.6,40.5,83.07,3472.9
F31,2021,Agriculture,65590.6,46.4,,5790.6
F31,2022,Agriculture,77854.2,52.1,108.3,11009.1
F31,2023,Agriculture,55393.0,45.0,83.72,6643.7
F32,2013,Manufacturing,43645.1,89.5,175.13,4422.1
F32,2014,Manufacturing,43473.1,80.5,164.72,4608.7
F32,2015,Manufacturing,58387.4,95.1,198.5,6541.5
F32,2016,Manufacturing,50590.7,93.0,185.39,3712.5
F32,2017,Manufacturing,69711.7,109.0,219.48,3268.9
F32,2018,Manufacturing,62916.3,95.8,185.17,6649.4
F32,2019,Manufacturing,58860.7,104.8,,6899.3
F32,2020,Manufacturing,63753.8,113.0,236.78,8103.4
F32,2021,Manufacturing,86887.3,121.9,243.3,7132.8
F32,2022,Manufacturing,77881.8,108.1,213.01,6363.1
F32,2023,Manufacturing,101385.1,129.9,260.68,12587.5
F33,2010,Services,36914.3,79.8,163.07,5078.7
F33,2011,Services,33380.7,82.3,164.87,4369.8
F33,2012,Services,31537.2,81.4,159.82,2768.1
F33,2013,Services,27366.9,76.5,156.73,3712.0
F33,2014,Services,35172.6,88.9,183.75,3420.5
F33,2015,Services,32653.3,82.4,165.61,1738.5
F33,2016,Services,60922.6,103.8,204.79,1665.4
F33,2017,Services,45573.8,91.7,183.35,2857.3
F33,2018,Services,45768.9,104.7,,4978.6
F33,2019,Services,54626.3,101.9,207.72,7164.2
F33,2020,Services,42027.6,103.4,204.75,3489.4
F33,2021,Services,74066.7,118.1,236.76,6529.8
F33,2022,Services,49901.9,95.5,195.28,3655.2
F33,2023,Services,83857.2,113.8,225.54,8188.3
F34,2010,Technology,192376.2,71.2,422.15,17601.8
F34,2011,Technology,310099.7,86.1,524.26,19685.9
F34,2012,Technology,142949.4,68.9,409.67,6175.7
F34,2013,Technology,185935.8,74.2,445.52,10707.4
F34,2014,Technology,211639.3,83.1,494.9,5503.0
F34,2015,Technology,197267.9,82.0,486.75,6828.7
F34,2016,Technology,277351.6,82.8,494.43,12229.9
F34,2017,Technology,499498.3,103.7,623.92,70638.6
F34,2018,Technology,477526.3,107.9,638.85,13998.3
F34,2019,Technology,338170.0,90.5,536.75,36938.7
F34,2020,Technology,513077.8,110.7,659.68,63411.2
F34,2021,Technology,415738.2,98.2,586.33,38862.8
F34,2022,Technology,475168.2,103.7,619.17,30494.5
F34,2023,Technology,441355.8,99.8,596.11,44176.2
F35,2015,Agriculture,134302.2,63.0,123.22,13888.3
F35,2016,Agriculture,116573.8,59.0,112.15,15009.2
F35,2017,Agriculture,137649.6,70.9,131.95,14419.1
F35,2018,Agriculture,157168.5,71.4,139.93,23553.5
F35,2019,Agriculture,172672.7,76.3,150.23,13152.8
F35,2020,Agriculture,174869.1,84.5,169.37,19149.1
F35,2021,Agriculture,256354.0,89.5,177.0,14187.0
F35,2022,Agriculture,268787.2,96.8,184.78,38556.1
F35,2023,Agriculture,194900.4,85.1,169.84,12970.0
F36,2010,Manufacturing,58394.2,41.4,73.12,5371.5
F36,2011,Manufacturing,68148.0,47.1,100.26,3629.4
F36,2012,Manufacturing,87225.1,52.1,98.51,10813.1
F36,2013,Manufacturing,67453.7,44.7,95.96,6169.9
F36,2014,Manufacturing,80184.9,54.1,106.89,1775.8
F36,2015,Manufacturing,59273.1,45.7,88.55,8472.8
F36,2016,Manufacturing,88662.9,55.1,112.7,13287.2
F36,2017,Manufacturing,75073.7,55.4,107.02,4960.5
F36,2018,Manufacturing,92178.8,60.4,115.15,9612.9
F36,2019,Manufacturing,81647.8,61.0,128.33,4718.8
F36,2020,Manufacturing,65144.7,59.0,117.61,2244.6
F36,2021,Manufacturing,95405.8,62.2,125.17,14043.1
F36,2022,Manufacturing,132994.8,84.6,164.19,4311.8
F36,2023,Manufacturing,112705.2,73.7,137.65,11097.5
F37,2010,Services,205245.3,142.1,286.06,20932.2
F37,2011,Services,169585.3,143.1,280.73,7832.6
F37,2012,Services,211056.7,146.6,293.4,18477.5
F37,2013,Services,168639.2,144.1,287.44,18414.8
F37,2014,Services,142360.1,141.0,278.42,13635.5
F37,2015,Services,301547.4,177.1,363.18,30314.2
F37,2016,Services,164647.0,146.5,289.06,19007.1
F37,2017,Services,297376.2,169.6,330.92,38702.5
F37,2018,Services,337778.1,177.6,,36598.2
F37,2019,Services,196218.4,146.2,293.62,12788.1
F37,2020,Services,252313.2,181.4,360.78,21945.1
F37,2021,Services,276338.2,167.5,334.61,17228.7
F37,2022,Services,292867.7,182.3,373.44,21799.2
F37,2023,Services,360856.5,189.4,378.19,22917.1
F38,2010,Technology,254534.0,100.5,602.44,15909.9
F38,2011,Technology,405402.9,105.7,638.6,8963.6
F38,2012,Technology,1042327.3,131.0,782.05,141142.8
F38,2013,Technology,1051243.5,130.6,787.91,34318.4
F38,2014,Technology,948067.3,131.8,791.52,39792.6
F38,2015,Technology,935308.1,134.6,802.97,40473.6
F38,2016,Technology,751738.1,125.5,756.49,66953.6
F38,2017,Technology,911144.4,134.3,811.92,87695.6
F38,2018,Technology,985515.1,136.0,814.02,51047.0
F38,2019,Technology,1233363.3,145.7,873.8,161868.6
F38,2020,Technology,2634191.9,168.9,1003.52,272095.2
F38,2021,Technology,2267632.0,159.7,962.41,81834.9
F38,2022,Technology,1848157.7,157.9,943.03,72096.2
F38,2023,Technology,4833673.3,188.2,1126.33,594261.9
F39,2010,Agriculture,74932.4,48.0,95.56,6069.7
